,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Te_Martin_Cowboys,258,10,161,1,Fullback,80.0,0,0,0,0,0,,0,15,9,71,31,22,0,0,1,0,2,0,7,4.15,0,0,0,0,2,29,40,3.22,0.5,4,3,1,0,3,2,41,0,1,1,0,0,0,1,1,0,2,1,0,0,80.0,,1
Kyle_Feldt_Cowboys,254,10,161,2,Winger,80.0,6,1,0,0,1,1.0,0,47,13,151,62,41,1,0,0,0,5,0,12,3.37,1,3,0,0,1,5,20,0.38,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,2
Gideon_Gela-mosby_Cowboys,248,10,161,19,Centre,80.0,4,1,0,0,0,,0,27,9,47,3,10,0,0,0,0,3,0,7,2.59,1,11,0,0,0,2,11,0.22,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,3
Kane_Linnett_Cowboys,620,10,161,4,Centre,80.0,0,0,0,0,0,,0,24,11,107,0,48,0,0,0,0,1,1,11,3.3,0,0,0,0,1,0,11,0,0.938,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.0,,3
Justin_O'neill_Cowboys,252,10,161,5,Winger,80.0,0,0,0,0,0,,0,28,6,47,0,12,1,1,1,0,2,0,5,3.27,0,0,0,0,0,3,9,0.5,0.857,6,1,0,0,0,1,27,1,0,1,0,0,0,0,0,0,0,0,0,0,80.0,,2
Jake_Clifford_Cowboys,249,10,161,6,Five-Eighth,80.0,0,0,0,0,0,,0,24,8,55,0,15,0,1,0,0,1,0,3,3.37,0,0,0,0,0,19,28,2.38,0.933,14,0,1,0,1,2,71,0,1,0,0,0,0,2,2,0,0,0,0,0,80.0,,4
Johnathan_Thurston_Cowboys,519,10,161,7,Halfback,80.0,12,0,4,5,2,0.857,0,45,9,30,0,5,0,0,1,0,0,0,3,4.0,0,0,0,0,3,30,45,3.33,0.765,13,3,1,0,1,11,265,3,1,4,0,0,0,0,0,0,1,0,0,0,80.0,,5
Matthew_Scott_Cowboys,272,10,161,8,Prop,40.0,0,0,0,0,0,,0,38,18,182,42,55,0,1,1,0,1,12,13,3.28,0,0,0,1,0,6,21,0.33,0.857,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15,19.5,6
Jake_Granville_Cowboys,265,10,161,9,Hooker,66.0,0,0,0,0,0,,0,30,3,33,0,10,0,0,0,0,1,0,2,2.96,2,31,0,0,2,86,84,28.67,0.844,38,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52.16,13.21,7
Jordan_Mclean_Cowboys,268,10,161,10,Prop,46.0,0,0,0,0,0,,0,48,17,195,81,67,0,0,0,0,2,11,15,2.99,0,0,0,1,1,2,19,0.12,0.955,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.09,22.24,6
Gavin_Cooper_Cowboys,264,10,161,11,2nd Row,80.0,4,1,0,0,0,,0,51,8,91,0,31,1,0,0,0,2,8,6,2.82,0,0,0,0,1,5,15,0.63,0.906,29,2,1,0,0,2,37,0,0,2,0,0,0,0,0,0,1,0,0,0,80.0,,8
Coen_Hess_Cowboys,260,10,161,12,2nd Row,80.0,4,1,0,0,0,,0,32,7,64,0,31,0,0,0,0,1,7,7,3.06,0,0,0,0,0,1,9,0.14,0.875,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Jason_Taumalolo_Cowboys,266,10,161,13,Lock,71.0,4,1,0,0,0,,0,73,24,286,0,112,0,0,0,0,7,24,20,3.85,0,0,0,1,0,7,30,0.29,0.8,24,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.19,22.24,9
Ben_Hampton_Cowboys,244,10,161,14,Interchange,14.0,0,0,0,0,0,,0,8,4,19,0,2,0,0,0,0,0,0,2,3.58,4,19,0,0,0,17,17,4.25,0.9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22,,10
John_Asiata_Cowboys,267,10,161,15,Interchange,34.0,0,0,0,0,0,,0,14,7,67,0,20,0,0,0,0,1,5,5,3.96,0,0,0,0,0,4,10,0.57,0.813,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33.27,,10
Corey_Jensen_Cowboys,261,10,161,16,Interchange,12.0,0,0,0,0,0,,0,13,1,6,0,3,0,0,0,0,0,1,1,2.32,0,0,0,0,0,0,1,0,0.938,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,,10
Scott_Bolton_Cowboys,276,10,161,17,Interchange,38.0,0,0,0,0,0,,0,32,8,78,20,38,0,0,0,0,1,6,8,3.37,0,0,0,0,0,1,9,0.13,0.903,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.21,,10
Darius_Boyd_Broncos,22,1,161,1,Fullback,80.0,0,0,0,0,0,,0,30,7,62,20,16,0,0,0,0,3,0,4,2.65,2,21,0,1,2,17,23,2.43,0.933,14,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80.0,,1
Corey_Oates_Broncos,20,1,161,2,Winger,80.0,0,0,0,0,0,,0,4,7,81,0,40,0,0,0,0,0,2,8,2.99,0,0,0,0,0,0,8,0,0.25,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
