,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Shaun_Fensom_Cowboys,609,10,133,15,Interchange,29.0,0,0,0,0,0,,0,30,7,55,0,27,0,1,0,0,1,7,6,4.05,0,0,0,1,0,2,9,0.29,0.909,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.25,,10
Corey_Jensen_Cowboys,261,10,133,17,Interchange,25.0,0,0,0,0,0,,0,32,9,91,14,38,0,0,0,0,0,8,8,2.85,0,0,0,0,0,0,9,0,0.962,25,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25.57,,10
Darius_Boyd_Broncos,22,1,134,1,Fullback,80.0,0,0,0,0,0,,0,23,13,102,36,27,0,0,0,0,3,0,9,3.58,0,0,0,0,0,21,30,1.62,0.75,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,1
Corey_Oates_Broncos,20,1,134,2,Winger,80.0,0,0,0,0,0,,0,9,8,79,36,30,0,0,0,0,2,0,6,3.07,0,0,0,1,0,0,8,0,,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Jaydn_Su'a_Broncos,1624,1,134,12,Centre,44.0,0,0,0,0,0,,0,26,10,93,0,42,0,0,0,0,1,0,9,4.24,0,0,0,1,0,0,10,0,0.762,16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.03,,3
Jordan_Kahu_Broncos,497,1,134,4,Centre,80.0,0,0,0,0,0,,0,9,7,42,0,15,0,0,0,0,1,0,7,3.18,0,0,0,0,1,3,9,0.43,0.733,11,4,0,0,0,1,21,1,0,1,0,0,0,1,1,0,1,0,0,0,80.0,,3
Jamayne_Isaako_Broncos,26,1,134,5,Winger,80.0,2,0,1,1,0,1.0,0,14,11,82,0,40,0,0,0,0,3,1,11,3.73,0,0,0,0,0,5,18,0.45,0.6,6,4,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80.0,,2
Anthony_Milford_Broncos,19,1,134,6,Five-Eighth,80.0,0,0,0,0,0,,0,59,17,143,0,39,0,0,0,0,5,0,9,3.17,1,9,0,2,9,33,58,1.94,0.667,10,3,2,0,0,14,403,2,5,3,0,1,0,0,0,0,1,0,0,0,80.0,,4
Kodi_Nikorima_Broncos,498,1,134,7,Halfback,80.0,0,0,0,0,0,,0,27,8,83,6,30,0,0,0,0,3,0,5,3.32,0,0,0,0,5,25,32,3.13,0.792,19,3,2,0,1,2,45,0,2,0,0,0,0,1,1,0,2,0,0,0,80.0,,5
Matthew_Lodge_Broncos,11,1,134,8,Prop,42.0,0,0,0,0,0,,0,38,12,92,14,41,0,0,0,0,3,11,10,3.51,0,0,0,0,0,2,14,0.17,0.889,24,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,21.24,20.07,6
