,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Corey_Thompson_Tigers,458,16,73,1,Fullback,80.0,0,0,0,0,0,,0,39,11,109,70,22,0,1,1,0,3,0,7,4.33,2,16,0,2,2,5,16,0.45,0.727,8,2,1,0,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,80.0,,1
David_Nofoaluma_Tigers,459,16,73,2,Winger,80.0,4,1,0,0,0,,0,40,17,148,7,61,1,0,0,0,3,0,16,2.97,2,17,0,0,0,2,19,0.12,0.667,6,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,2
Esan_Marsters_Tigers,461,16,73,3,Centre,80.0,8,1,1,4,1,0.4,0,50,10,97,0,32,1,1,1,0,5,0,7,2.88,3,25,0,0,1,4,15,0.4,0.9,9,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80.0,,3
Mahe_Fonua_Tigers,465,16,73,5,Centre,80.0,0,0,0,0,0,,0,47,22,230,9,86,1,0,0,0,5,0,17,2.54,5,44,0,3,7,3,23,0.14,0.545,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Malakai_Watene-zelezniak_Tigers,523,16,73,20,Winger,80.0,4,1,0,0,0,,0,32,16,136,0,41,2,0,0,0,1,1,12,3.3,0,0,0,1,0,3,19,0.19,0.714,5,1,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,80.0,,2
Benji_Marshall_Tigers,457,16,73,6,Five-Eighth,80.0,0,0,0,0,0,,0,38,9,97,0,27,0,0,0,0,4,0,6,3.23,1,13,0,0,3,30,49,3.33,0.667,10,5,0,0,0,12,314,1,1,4,0,0,2,0,0,0,0,0,0,0,80.0,,4
Luke_Brooks_Tigers,464,16,73,7,Halfback,80.0,4,1,0,0,0,,0,37,11,142,9,13,0,2,0,0,1,0,6,4.2,0,0,0,1,6,29,49,2.64,0.524,11,10,0,0,1,12,242,1,3,5,0,0,1,0,0,0,0,0,0,0,80.0,,5
Russell_Packer_Tigers,453,16,73,8,Prop,40.0,0,0,0,0,0,,0,38,9,101,16,45,0,0,0,0,1,7,8,2.96,0,0,0,0,1,2,10,0.22,0.939,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.21,14.25,6
Elijah_Taylor_Tigers,443,16,73,9,Hooker,39.0,0,0,0,0,0,,0,17,1,8,0,3,0,0,0,0,0,1,1,4.64,0,0,0,0,0,44,44,44,0.862,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.22,6.25,7
Ben_Matulino_Tigers,440,16,73,10,Prop,48.0,0,0,0,0,0,,0,46,13,138,17,53,0,0,0,0,0,11,13,3.55,0,0,0,0,0,0,13,0,0.972,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.29,17.11,6
