,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Josh_Hoffman_1,1697,1,1211,1,Fullback,80:00,0,0,0,0,0,0,0,5,9,100,73,29,0,0,0,0,1,0,0,0,2,16,0,0,1,12,23,1.33,44.4%,4,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
1,Lachlan_Maranta_1,1700,1,1211,2,Winger,80:00,0,0,0,0,0,0,0,10,8,79,34,18,0,0,0,0,2,1,0,0,0,0,0,0,0,1,13,0.12,60%,3,1,1,0,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Dale_Copley_1,2195,1,1211,3,Centre,80:00,4,1,0,0,0,0,0,38,8,103,0,43,1,1,1,0,2,0,0,0,0,0,0,1,1,2,11,0.25,100%,11,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
3,Justin_Hodges_1,1699,1,1211,4,Centre,80:00,0,0,0,0,0,0,0,25,14,163,0,54,1,0,0,0,3,0,0,0,8,61,0,1,2,5,22,0.36,81.8%,9,1,1,0,1,1,31,0,0,0,0,1,0,0,3,0,1,0,0,0,80:00,0
4,Jordan_Kahu_1,497,1,1211,5,Winger,80:00,0,0,0,0,0,0,0,5,9,72,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0.11,85.7%,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,Ben_Barba_1,2314,1,1211,6,Five-Eighth,80:00,0,0,0,0,0,0,0,49,8,98,10,27,1,2,1,0,4,0,0,0,0,0,0,1,2,22,31,2.75,84.6%,22,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
6,Ben_Hunt_1,1704,1,1211,7,Halfback,80:00,0,0,0,0,0,0,0,37,3,22,0,13,0,0,0,0,2,0,0,0,0,0,0,1,3,27,44,9,70%,21,8,1,0,0,11,300,0,1,3,0,1,1,0,3,0,0,0,0,0,80:00,0
7,Josh_Mcguire_1,501,1,1211,8,Prop,48:00,0,0,0,0,0,0,0,36,11,96,10,38,0,0,0,0,0,9,0,0,0,0,0,1,0,1,12,0.09,97.1%,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:00,0
8,Andrew_Mccullough_1,3,1,1211,9,Hooker,71:00,0,0,0,0,0,0,0,58,3,40,0,10,0,0,0,0,1,0,0,0,2,23,0,0,0,81,79,27,96.1%,49,0,2,0,0,3,66,0,0,2,0,0,0,0,0,0,0,0,0,0,71:00,0
9,Corey_Parker_1,1703,1,1211,10,Prop,77:00,0,0,0,2,0,0,0,46,19,173,0,66,0,1,0,0,1,19,0,0,0,0,0,3,2,10,29,0.53,97.1%,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,77:00,0
10,Alex_Glenn_1,2,1,1211,11,2nd Row,66:00,4,1,0,0,0,0,0,43,8,62,0,24,1,0,0,0,2,5,0,0,2,20,0,0,0,11,20,1.38,81.2%,26,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66:00,0
11,Matt_Gillett_1,10,1,1211,12,2nd Row,74:00,0,0,0,0,0,0,0,30,12,78,1,27,0,0,0,0,1,10,0,0,1,8,0,0,0,1,14,0.08,81.6%,31,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74:00,0
12,Sam_Thaiday_1,499,1,1211,13,Lock,54:00,0,0,0,0,0,0,0,39,8,52,0,14,0,0,0,0,0,8,0,0,0,0,0,0,1,5,13,0.62,97.4%,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54:00,0
13,Ben_Hannant_1,1705,1,1211,15,Interchange,37:00,0,0,0,0,0,0,0,33,9,78,6,26,0,0,0,0,0,8,0,0,0,0,0,0,1,3,13,0.33,89.7%,35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37:00,0
14,Todd_Lowrie_1,2316,1,1211,17,Interchange,30:00,0,0,0,0,0,0,0,17,8,74,0,27,0,0,0,0,1,8,0,0,0,0,0,0,0,1,10,0.12,93.8%,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30:00,0
15,Jack_Reed_1,1698,1,1211,19,Interchange,14:00,0,0,0,0,0,0,0,12,2,21,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0.5,100%,10,0,0,0,0,1,22,0,0,1,0,0,1,0,0,0,0,0,0,0,14:00,0
16,Corey_Oates_1,20,1,1211,20,Interchange,10:00,0,0,0,0,0,0,0,6,3,29,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,100%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:00,0
17,Billy_Slater_7,568,7,1211,1,Fullback,80:00,0,0,0,0,0,0,0,27,11,101,30,24,2,0,0,0,4,0,0,0,0,0,0,1,1,18,31,1.64,50%,2,1,1,0,4,3,75,0,0,1,0,0,1,0,0,0,0,0,0,0,80:00,0
18,Sisa_Waqa_7,1946,7,1211,2,Winger,80:00,0,0,0,0,0,0,0,23,9,90,0,30,0,2,1,0,1,1,0,0,1,5,0,2,0,5,13,0.56,87.5%,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
19,Will_Chambers_7,187,7,1211,3,Centre,80:00,0,0,0,0,0,0,0,18,16,169,0,42,0,0,0,0,2,0,0,0,2,26,0,0,1,5,21,0.31,85.7%,12,1,1,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
20,Mahe_Fonua_7,1804,7,1211,4,Centre,80:00,0,0,0,0,0,0,0,10,11,103,0,31,0,0,0,0,0,1,0,0,0,0,0,1,1,2,13,0.18,81.8%,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,80:00,0
21,Marika_Koroibete_7,2181,7,1211,5,Winger,80:00,4,1,0,0,0,0,0,43,10,127,66,28,1,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,62.5%,5,2,1,0,2,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
22,Ben_Roberts_7,2318,7,1211,6,Five-Eighth,80:00,0,0,0,0,0,0,0,26,5,41,0,16,0,0,0,0,1,0,0,0,0,0,0,1,2,20,27,4,80.8%,21,3,2,0,0,4,26,1,0,3,0,0,0,0,0,0,2,0,0,0,80:00,0
23,Cooper_Cronk_7,1806,7,1211,7,Halfback,80:00,4,1,0,0,0,0,0,55,8,88,0,17,1,1,2,0,2,0,0,0,0,0,0,2,1,42,61,5.25,84.6%,11,2,0,0,2,11,255,0,3,0,0,3,0,0,0,0,0,0,0,0,80:00,0
24,Jesse_Bromwich_7,164,7,1211,8,Prop,50:00,0,0,0,0,0,0,0,41,17,169,55,65,0,1,1,0,1,13,0,0,0,0,0,3,1,3,20,0.18,92.6%,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50:00,0
25,Cameron_Smith_7,159,7,1211,9,Hooker,80:00,10,0,4,5,1,83.33%,0,62,4,48,0,10,0,1,0,0,0,1,0,0,3,40,0,1,6,112,123,28,94.9%,37,1,1,0,1,7,264,0,0,2,0,0,1,0,0,0,0,0,0,0,80:00,0
26,Bryan_Norrie_7,1891,7,1211,10,Prop,32:00,0,0,0,0,0,0,0,14,11,98,31,36,0,0,0,0,0,9,0,0,0,0,0,0,0,3,14,0.27,100%,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32:00,0
27,Kevin_Proctor_7,1924,7,1211,11,2nd Row,62:00,0,0,0,0,0,0,0,34,17,138,2,71,0,0,0,0,0,16,0,0,0,0,0,2,1,0,17,0,93.8%,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62:00,0
28,Ryan_Hoffman_7,540,7,1211,12,2nd Row,76:00,8,2,0,0,0,0,0,60,14,116,0,47,1,0,0,0,4,14,0,0,0,0,0,0,0,1,19,0.07,96.7%,29,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,76:00,0
29,Ryan_Hinchcliffe_7,1809,7,1211,13,Lock,56:00,4,1,0,0,0,0,0,54,8,64,0,19,1,0,0,0,4,8,0,0,0,0,0,0,1,9,17,1.12,93.8%,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56:00,0
