,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Greg_Inglis_13,352,13,894,1,Fullback,80:00,4,1,0,0,0,0,0,72,17,171,73,54,1,3,1,0,5,1,0,0,0,0,0,0,2,14,29,0.82,81.2%,13,1,2,0,4,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
1,Alex_Johnston_13,346,13,894,2,Winger,80:00,4,1,0,0,0,0,0,31,7,61,0,5,1,0,0,0,1,0,0,0,0,0,0,0,2,3,11,0.43,100%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Dylan_Walker_13,1988,13,894,3,Centre,75:00,8,2,0,0,0,0,0,47,7,136,0,27,1,0,0,0,3,0,0,0,1,69,0,0,0,4,10,0.57,85.7%,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75:00,0
3,Bryson_Goodwin_13,1901,13,894,4,Centre,80:00,0,0,0,0,0,0,0,35,10,104,0,50,0,0,0,0,4,1,0,0,0,0,0,1,0,5,15,0.5,86.7%,13,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80:00,0
4,Joel_Reddy_13,2197,13,894,5,Winger,80:00,0,0,0,0,0,0,0,17,9,67,6,29,1,0,0,0,1,0,0,0,2,8,0,0,2,6,16,0.67,100%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80:00,0
5,Luke_Keary_13,1999,13,894,6,Five-Eighth,80:00,0,0,0,0,0,0,0,16,5,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,35,39,7,81%,17,4,0,0,0,3,87,0,1,0,0,0,0,0,0,0,0,0,0,0,80:00,0
6,Adam_Reynolds_13,345,13,894,7,Halfback,80:00,4,0,2,4,0,50%,0,61,4,17,0,4,0,1,3,0,0,0,0,0,0,0,0,0,3,23,40,5.75,85.2%,23,3,1,0,0,16,457,2,2,5,0,3,0,0,1,0,0,0,0,0,80:00,0
7,George_Burgess_13,363,13,894,8,Prop,59:00,0,0,0,0,0,0,0,56,20,178,36,62,0,0,0,0,5,17,0,0,0,0,0,0,0,1,23,0.05,93.8%,30,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,59:00,0
8,Issac_Luke_13,1688,13,894,9,Hooker,80:00,0,0,0,0,0,0,0,43,12,101,0,33,0,0,0,0,3,1,0,0,8,70,0,0,16,123,132,10.25,77.6%,38,6,5,0,0,1,52,0,0,0,0,0,0,0,1,0,2,0,0,0,80:00,0
9,David_Tyrrell_13,1902,13,894,10,Prop,34:00,0,0,0,0,0,0,0,31,11,79,0,31,0,0,0,0,0,11,0,0,0,0,0,0,0,1,13,0.09,96.6%,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34:00,0
