,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Roger_Tuivasa-sheck_15,1675,15,1058,1,Fullback,80:00,0,0,0,0,0,0,0,76,24,243,109,59,0,1,1,0,12,0,0,0,0,0,0,0,2,15,36,0.62,100%,2,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,80:00,0
1,Daniel_Tupou_15,431,15,1058,2,Winger,80:00,0,0,0,0,0,0,0,31,12,149,0,36,0,0,0,0,4,0,0,0,1,8,0,0,0,4,15,0.33,100%,4,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Michael_Jennings_15,1673,15,1058,3,Centre,80:00,4,1,0,0,0,0,0,40,8,72,0,20,1,0,0,0,3,0,0,0,0,0,0,0,3,7,13,0.88,84.2%,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
3,Blake_Ferguson_15,487,15,1058,4,Centre,80:00,4,1,0,0,0,0,0,28,12,115,0,45,0,0,0,0,0,0,0,0,1,19,0,1,2,3,16,0.25,77.3%,17,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80:00,0
4,Shaun_Kenny-dowall_15,1674,15,1058,19,Winger,80:00,0,0,0,0,0,0,0,55,14,156,51,39,0,0,0,0,11,2,0,0,2,18,0,1,0,5,19,0.36,100%,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,James_Maloney_15,1676,15,1058,6,Five-Eighth,80:00,10,0,5,5,0,100%,0,58,13,81,0,20,0,1,2,0,0,1,0,0,0,0,0,0,8,29,43,2.23,95.5%,21,1,0,0,0,7,221,0,1,0,0,2,0,0,0,0,1,1,0,0,80:00,0
6,Jackson_Hastings_15,2160,15,1058,7,Halfback,80:00,0,0,0,0,0,0,0,31,2,27,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,33,44,16.5,82.6%,19,2,2,0,0,9,200,1,1,4,0,1,1,0,0,0,0,0,0,0,80:00,0
7,Sam_Moa_15,1678,15,1058,8,Prop,42:00,0,0,0,0,0,0,0,28,9,73,0,22,0,0,0,0,1,8,0,0,0,0,0,1,2,2,10,0.22,87%,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42:00,0
8,Jake_Friend_15,413,15,1058,9,Hooker,57:00,4,1,0,0,0,0,0,58,12,73,0,24,1,0,0,0,1,3,0,0,7,47,0,2,2,86,94,7.17,96.7%,29,1,0,0,1,4,92,0,0,0,0,1,0,0,0,0,0,0,0,0,57:00,0
9,Dylan_Napa_15,489,15,1058,10,Prop,49:00,0,0,0,0,0,0,0,34,11,124,87,28,0,0,0,0,2,4,0,0,0,0,0,0,1,2,13,0.18,88.9%,24,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,49:00,0
10,Boyd_Cordner_15,409,15,1058,11,2nd Row,54:00,4,1,0,0,0,0,0,59,9,90,0,42,0,1,1,0,2,9,0,0,0,0,0,1,0,2,13,0.22,96.7%,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54:00,0
11,Aidan_Guerra_15,1679,15,1058,12,2nd Row,66:00,4,1,0,0,0,0,0,63,11,116,0,48,1,0,0,0,4,10,0,0,0,0,0,1,1,4,14,0.36,88.2%,30,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66:00,0
12,Siosiua_Taukeiaho_15,421,15,1058,13,Lock,54:00,0,0,0,0,0,0,0,39,12,116,0,55,0,0,0,0,2,12,0,0,0,0,0,0,3,2,16,0.17,100%,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,54:00,0
13,Mitchell_Aubusson_15,417,15,1058,14,Interchange,49:00,0,0,0,0,0,0,0,37,7,67,0,22,0,0,0,0,3,4,0,0,2,4,0,0,0,25,32,3.57,100%,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49:00,0
14,Isaac_Liu_15,412,15,1058,15,Interchange,39:00,0,0,0,0,0,0,0,40,11,86,0,30,1,1,0,0,1,10,0,0,0,0,0,0,0,1,11,0.09,93.5%,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,39:00,0
15,Kane_Evans_15,2090,15,1058,16,Interchange,31:00,0,0,0,0,0,0,0,43,10,113,19,52,0,0,0,0,2,9,0,0,0,0,0,3,0,0,11,0,100%,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,31:00,0
16,Suaia_Matagi_15,2287,15,1058,17,Interchange,38:00,0,0,0,0,0,0,0,34,8,74,0,18,0,1,0,0,0,6,0,0,0,0,0,0,1,2,8,0.25,100%,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38:00,0
