,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Darius_Boyd_1,22,1,1073,1,Fullback,85:00,0,0,0,0,0,0,0,28,17,151,40,66,0,0,0,0,2,0,0,0,5,38,0,0,1,8,29,0.47,80%,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85:00,0
1,Corey_Oates_1,20,1,1073,2,Winger,85:00,4,1,0,0,0,0,0,52,16,222,0,69,0,0,0,0,2,0,0,0,0,0,0,0,0,1,19,0.06,100%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85:00,0
2,Jack_Reed_1,1698,1,1073,3,Centre,85:00,4,1,0,0,0,0,0,52,10,107,0,33,1,0,1,0,2,1,0,0,1,11,0,0,0,3,14,0.3,87%,20,1,2,0,1,1,10,0,0,1,0,0,0,0,2,0,0,0,0,0,85:00,0
3,Justin_Hodges_1,1699,1,1073,4,Centre,85:00,0,0,0,0,0,0,0,18,11,77,0,42,0,0,0,0,1,0,0,0,7,46,0,0,0,11,23,1,75%,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85:00,0
4,Jordan_Kahu_1,497,1,1073,5,Winger,85:00,4,0,1,1,1,100%,0,32,13,104,61,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,50%,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85:00,0
5,Anthony_Milford_1,19,1,1073,6,Five-Eighth,85:00,0,0,0,0,0,0,0,67,17,218,0,37,2,1,0,0,7,0,0,0,2,20,1,1,8,15,33,0.88,81%,17,3,1,0,1,2,28,0,0,1,0,0,0,0,0,0,0,0,0,0,85:00,0
6,Ben_Hunt_1,1704,1,1073,7,Halfback,85:00,0,0,0,0,0,0,0,63,9,83,0,18,1,1,0,0,5,0,0,0,0,0,0,1,6,25,47,2.78,84%,21,3,1,0,0,16,434,0,2,1,0,1,0,0,2,1,2,1,0,0,85:00,0
7,Sam_Thaiday_1,499,1,1073,8,Prop,64:00,0,0,0,0,0,0,0,54,14,131,31,42,0,0,0,0,2,9,0,0,0,0,0,0,0,4,16,0.29,88.6%,39,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64:00,0
8,Andrew_Mccullough_1,3,1,1073,9,Hooker,73:00,0,0,0,0,0,0,0,49,6,38,0,10,0,0,0,0,0,0,0,0,4,30,0,0,3,89,94,14.83,91.7%,44,2,2,0,0,4,126,0,0,1,0,0,0,0,0,0,0,0,0,0,73:00,0
9,Adam_Blair_1,2055,1,1073,10,Prop,57:00,0,0,0,0,0,0,0,42,9,84,0,23,0,0,0,0,0,9,0,0,0,0,0,2,0,4,13,0.44,94.7%,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57:00,0
10,Alex_Glenn_1,2,1,1073,11,2nd Row,85:00,0,0,0,0,0,0,0,40,7,65,0,25,0,0,0,0,0,7,0,0,0,0,0,0,1,1,8,0.14,87.5%,42,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85:00,0
