,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Darius_Boyd_1,22,1,728,1,Fullback,80:00,0,0,0,0,0,0,0,25,13,130,22,36,0,0,0,0,1,0,12,4.46s,3,31,0,0,3,16,28,1.23,100%,7,0,0,0,2,1,12,1,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
1,Corey_Oates_1,20,1,728,2,Winger,80:00,4,1,0,0,0,0,0,32,8,96,14,30,1,0,0,0,4,1,7,3.98s,0,0,0,0,0,2,10,0.25,62.5%,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Jack_Reed_1,1698,1,728,3,Centre,80:00,0,0,0,0,0,0,0,29,11,110,0,28,0,1,1,0,0,2,8,3.62s,0,0,0,0,2,7,18,0.64,75%,15,2,3,0,0,2,48,0,0,2,0,0,0,1,1,0,0,0,0,0,80:00,0
3,James_Roberts_1,27,1,728,4,Centre,80:00,0,0,0,0,0,0,0,24,7,59,0,25,0,0,1,0,2,0,7,3.58s,3,26,0,0,1,2,9,0.29,77.8%,14,3,1,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
4,Jordan_Kahu_1,497,1,728,5,Winger,80:00,8,1,2,2,0,100%,0,27,11,119,63,31,0,0,0,0,2,0,9,3.42s,0,0,0,1,0,2,16,0.18,66.7%,2,1,0,0,0,1,16,0,0,0,0,0,0,1,1,0,1,0,0,0,80:00,0
5,Anthony_Milford_1,19,1,728,6,Five-Eighth,80:00,0,0,0,0,0,0,0,37,17,136,0,26,0,1,1,0,1,0,10,5.84s,0,0,0,0,8,27,45,1.59,81.8%,9,0,2,0,0,7,102,3,0,3,0,1,0,0,0,0,0,0,0,0,80:00,0
6,Ben_Hunt_1,1704,1,728,7,Halfback,80:00,4,1,0,0,0,0,0,66,8,107,0,13,2,0,0,0,4,1,1,3.76s,0,0,0,2,6,32,47,4,82.4%,14,2,1,0,0,9,286,1,3,1,0,1,2,0,1,0,0,0,0,0,80:00,0
7,Josh_Mcguire_1,501,1,728,8,Prop,52:00,0,0,0,0,0,0,0,39,17,170,10,68,0,0,0,0,0,15,16,3.74s,0,0,0,0,0,8,24,0.47,100%,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52:11,0
8,Andrew_Mccullough_1,3,1,728,9,Hooker,24:00,0,0,0,0,0,0,0,13,2,21,0,6,0,0,0,0,0,0,0,0,2,21,0,0,0,32,31,16,100%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23:56,0
9,Adam_Blair_1,2055,1,728,10,Prop,68:00,0,0,0,0,0,0,0,30,8,64,0,26,0,0,0,0,0,8,7,2.98s,0,0,0,1,0,3,12,0.38,100%,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,61:12,06:56
10,Sam_Thaiday_1,499,1,728,15,2nd Row,44:00,0,0,0,0,0,0,0,20,4,48,0,16,0,0,0,0,0,4,3,3.95s,0,0,0,0,0,2,7,0.5,100%,18,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,1,0,0,0,25:11,18:47
11,Matt_Gillett_1,10,1,728,12,2nd Row,67:00,0,0,0,0,0,0,0,32,9,80,1,27,0,0,0,0,0,8,9,3.96s,0,0,0,1,0,2,12,0.22,100%,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67:17,0
12,Corey_Parker_1,1703,1,728,13,Lock,63:00,10,1,2,3,1,75%,0,58,15,144,0,43,1,0,0,0,3,14,11,4.13s,0,0,0,0,1,5,20,0.33,88.5%,23,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,35:10,27:49
13,Jarrod_Wallace_1,1972,1,728,14,Interchange,38:00,0,0,0,0,0,0,0,42,14,183,88,71,0,0,0,0,2,9,13,4.37s,0,0,0,0,0,3,17,0.21,100%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32:29,05:45
14,Joe_Ofahengaue_1,9,1,728,16,Interchange,45:00,0,0,0,0,0,0,0,34,13,119,12,52,0,0,0,0,0,12,13,4.46s,0,0,0,0,1,1,15,0.08,96.6%,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,44:49,0
