,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Josh_Dugan_14,1990,14,474,1,Fullback,80:00,0,0,0,0,0,0,0,62,21,189,49,48,0,2,0,0,11,0,13,2.96s,4,36,0,3,4,13,33,0.62,100%,2,0,0,0,1,2,16,0,0,2,0,0,0,1,1,0,0,0,0,0,80:00,0
1,Nene_Macdonald_14,481,14,474,2,Winger,80:00,0,0,0,0,0,0,0,30,15,159,28,62,0,0,0,0,3,0,14,2.64s,5,56,0,1,1,6,21,0.4,100%,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Euan_Aitken_14,378,14,474,3,Centre,80:00,0,0,0,0,0,0,0,44,13,140,0,47,0,0,0,0,5,0,11,2.98s,1,12,0,0,2,3,13,0.23,94.4%,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
3,Timoteo_Lafai_14,388,14,474,4,Centre,80:00,0,0,0,0,0,0,0,38,14,154,8,51,1,0,0,0,3,0,9,3.47s,1,3,0,3,0,4,18,0.29,76.9%,10,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,80:00,0
4,Jason_Nightingale_14,482,14,474,5,Winger,80:00,0,0,0,0,0,0,0,21,14,140,36,46,0,0,1,0,0,0,15,2.75s,2,16,0,1,0,3,21,0.21,71.4%,5,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,80:00,0
5,Gareth_Widdop_14,379,14,474,6,Five-Eighth,80:00,22,2,7,7,0,100%,0,72,13,105,0,9,1,2,2,0,1,0,3,3s,0,0,0,0,6,31,42,2.38,60%,6,2,2,0,0,7,196,1,1,1,0,1,1,0,0,0,0,0,0,0,80:00,0
6,Josh_Mccrone_14,2067,14,474,7,Halfback,69:00,0,0,0,0,0,0,0,33,8,36,1,3,0,0,2,0,1,0,1,4.28s,0,0,0,2,4,25,38,3.12,70.6%,12,2,3,1,1,8,213,1,1,0,0,2,1,1,0,0,2,0,0,0,69:10,0
7,Russell_Packer_14,2068,14,474,8,Prop,51:00,0,0,0,0,0,0,0,37,17,174,75,55,0,0,0,0,1,10,15,3.06s,0,0,0,0,1,3,19,0.18,95.8%,23,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,27:49,23:02
8,Cameron_Mcinnes_14,391,14,474,9,Hooker,80:00,4,1,0,0,0,0,0,70,7,74,0,29,0,1,1,0,1,2,5,3.73s,4,47,0,1,6,118,126,16.86,95.6%,43,0,2,0,0,1,13,1,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
9,Paul_Vaughan_14,404,14,474,10,Prop,46:00,0,0,0,0,0,0,0,42,18,189,21,79,0,0,0,0,2,17,16,3.6s,0,0,0,1,0,2,20,0.11,90.9%,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27:50,17:52
10,Tyson_Frizell_14,407,14,474,11,2nd Row,80:00,0,0,0,0,0,0,0,51,16,131,0,41,0,0,0,0,0,16,12,3.54s,0,0,0,3,1,1,17,0.06,94.7%,36,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
11,Joel_Thompson_14,2069,14,474,12,2nd Row,80:00,12,3,0,0,0,0,0,96,10,108,0,25,3,0,0,0,8,10,7,3.78s,0,0,0,0,0,1,11,0.1,86.7%,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
12,Jack_De Belin_14,483,14,474,13,Lock,64:00,4,1,0,0,0,0,0,92,20,154,0,40,1,0,0,0,7,16,9,4.08s,0,0,0,5,3,7,23,0.35,100%,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52:19,11:58
13,Tariq_Sims_14,406,14,474,14,Interchange,34:00,0,0,0,0,0,0,0,36,11,101,21,34,0,0,0,0,3,9,10,3.26s,0,0,0,0,0,0,11,0,95%,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34:18,0
14,Leeson_Ah Mau_14,1642,14,474,15,Interchange,29:00,0,0,0,0,0,0,0,29,9,79,0,31,0,0,0,0,0,8,7,2.78s,0,0,0,0,0,1,9,0.11,93.3%,28,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24:30,04:39
15,Jacob_Host_14,395,14,474,16,Interchange,16:00,0,0,0,0,0,0,0,12,5,26,0,6,0,0,0,0,1,4,4,3.32s,0,0,0,0,0,0,5,0,100%,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15:43,0
16,Jai_Field_14,380,14,474,17,Interchange,11:00,0,0,0,0,0,0,0,2,1,12,0,4,0,0,0,0,0,0,1,4.12s,0,0,0,0,0,3,4,3,100%,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10:50,0
17,Matt_Moylan_12,1966,12,474,1,Fullback,80:00,0,0,0,0,0,0,0,31,21,132,7,27,0,1,1,0,4,1,11,3.94s,0,0,0,0,8,21,33,1,69.2%,9,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80:00,0
18,Dean_Whare_12,318,12,474,2,Winger,80:00,0,0,0,0,0,0,0,10,10,74,0,22,0,0,0,0,0,0,8,3.53s,1,12,0,1,0,3,14,0.3,57.1%,4,1,2,0,1,1,8,0,0,1,0,0,0,1,1,0,0,0,0,0,80:00,0
19,Waqa_Blake_12,326,12,474,3,Centre,80:00,4,1,0,0,0,0,0,38,12,83,6,17,1,0,0,0,3,2,9,2.84s,2,14,0,1,1,3,14,0.25,87.5%,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
20,Tyrone_Peachey_12,543,12,474,4,Centre,80:00,4,1,0,0,0,0,0,24,14,138,13,38,1,0,0,0,2,0,12,3.64s,4,42,0,0,0,19,33,1.36,57.1%,8,5,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,80:00,0
21,Peta_Hiku_12,2070,12,474,5,Winger,80:00,0,0,0,0,0,0,0,13,13,130,33,37,0,0,0,0,0,0,13,3.77s,1,12,0,0,2,1,17,0.08,62.5%,5,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
22,Te_Martin_12,2071,12,474,6,Five-Eighth,80:00,0,0,0,0,0,0,0,33,6,53,0,14,0,1,1,0,1,0,2,4.24s,0,0,0,1,5,17,21,2.83,83.3%,30,4,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,80:00,0
23,Nathan_Cleary_12,324,12,474,7,Halfback,80:00,2,0,1,1,0,100%,0,33,7,64,0,18,0,0,0,0,0,0,6,2.95s,0,0,0,0,4,14,28,2,86.4%,19,2,1,0,0,7,212,0,2,1,0,0,0,0,0,0,0,0,0,0,80:00,0
24,James_Tamou_12,330,12,474,8,Prop,46:00,0,0,0,0,0,0,0,32,8,80,0,30,0,0,0,0,0,8,8,2.92s,0,0,0,0,0,1,11,0.12,100%,30,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,24:46,20:31
25,Peter_Wallace_12,544,12,474,9,Hooker,64:00,0,0,0,1,0,0,0,33,1,13,0,6,0,0,0,0,0,0,2,4.22s,1,13,0,0,1,81,83,81,82.2%,37,4,4,0,0,2,100,0,0,0,0,0,0,1,0,0,0,0,0,0,55:15,09:10
26,Reagan_Campbell-gillard_12,335,12,474,10,Prop,45:00,0,0,0,0,0,0,0,29,5,44,0,13,0,0,0,0,0,4,4,3.41s,0,0,0,0,0,2,6,0.4,84.8%,39,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24:47,20:30
27,Bryce_Cartwright_12,2072,12,474,11,2nd Row,80:00,0,0,0,0,0,0,0,41,10,75,0,23,0,0,0,0,1,10,7,3.33s,0,0,0,2,0,1,13,0.1,82.7%,43,7,2,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
28,Isaah_Yeo_12,545,12,474,12,2nd Row,80:00,0,0,0,0,0,0,0,44,11,120,0,44,0,0,0,0,2,11,10,3.44s,0,0,0,1,1,1,12,0.09,90.3%,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
