,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Valentine_Holmes_4,472,4,560,1,Fullback,80:00,4,0,1,1,1,100%,0,42,15,182,112,41,0,0,0,0,6,1,13,3.67s,1,28,0,0,1,7,22,0.47,100%,1,0,0,0,0,1,23,1,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
1,Sosaia_Feki_4,97,4,560,2,Winger,80:00,0,0,0,0,0,0,0,13,12,113,13,48,0,0,0,0,2,0,9,3.49s,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,80:00,0
2,Gerard_Beale_4,2050,4,560,3,Centre,80:00,4,1,0,0,0,0,0,40,10,157,0,36,1,0,0,0,3,0,8,3.16s,1,15,0,0,0,3,12,0.3,75%,18,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,80:00,0
3,Ricky_Leutele_4,471,4,560,4,Centre,80:00,0,0,0,0,0,0,0,23,11,96,0,39,0,0,0,0,3,0,11,3.62s,1,13,0,0,1,2,12,0.18,90%,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
4,Edrick_Lee_4,581,4,560,5,Winger,80:00,0,0,0,0,0,0,0,25,14,105,26,37,0,0,0,0,3,0,15,3.55s,0,0,0,0,0,2,19,0.14,100%,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,Fa'amanu_Brown_4,2053,4,560,6,Five-Eighth,80:00,0,0,0,0,0,0,0,25,6,54,0,9,1,0,0,0,1,0,3,5.36s,1,1,0,1,4,35,42,5.83,76.2%,16,3,2,0,1,2,44,1,1,1,0,0,0,1,0,0,0,0,0,0,80:00,0
6,Chad_Townsend_4,89,4,560,7,Halfback,80:00,1,0,0,0,0,0,1,43,5,37,0,6,0,0,0,0,0,0,1,3.36s,0,0,0,0,9,45,67,9,89.3%,25,3,0,0,0,17,418,1,3,4,0,4,0,2,1,0,0,0,0,0,80:00,0
7,Chris_Heighington_4,1836,4,560,8,Prop,29:00,0,0,0,0,0,0,0,20,14,138,0,44,0,0,0,0,0,13,12,3.92s,0,0,0,0,1,3,16,0.21,84.6%,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:39,07:12
8,Jayden_Brailey_4,473,4,560,9,Hooker,80:00,0,0,0,0,0,0,0,49,4,17,0,3,0,0,0,0,0,3,3,4.75s,1,4,0,0,7,117,119,29.25,98.1%,52,0,1,0,0,1,11,0,0,1,0,0,0,1,1,0,1,0,0,0,80:00,0
9,Matt_Prior_4,474,4,560,10,Prop,38:00,0,0,0,0,0,0,0,37,11,100,33,34,0,0,0,0,1,8,9,3.32s,0,0,0,0,0,0,11,0,89.3%,25,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21:43,15:59
10,Luke_Lewis_4,582,4,560,11,2nd Row,73:00,0,0,0,0,0,0,0,40,11,132,0,32,0,0,0,0,1,10,10,4.13s,0,0,0,0,1,4,17,0.36,90.9%,40,4,0,0,1,2,36,1,0,2,0,0,0,1,0,0,4,0,0,0,73:14,0
11,Kurt_Capewell_4,478,4,560,12,2nd Row,67:00,0,0,0,0,0,0,0,39,16,106,0,41,0,0,0,0,2,15,11,3.6s,0,0,0,3,1,2,17,0.12,86.2%,25,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60:37,06:46
12,Paul_Gallen_4,477,4,560,13,Lock,65:00,0,0,0,0,0,0,0,71,22,240,18,87,1,0,0,0,5,20,20,3.32s,0,0,0,2,9,2,24,0.09,93.1%,27,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:56,34:48
13,Jayson_Bukuya_4,475,4,560,14,Interchange,58:00,0,0,0,0,0,0,0,56,11,139,28,52,0,0,0,0,0,10,10,3.56s,0,0,0,0,2,1,12,0.09,100%,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58:21,0
14,Jeremy_Latimore_4,2114,4,560,15,Interchange,26:00,0,0,0,0,0,0,0,26,8,80,0,30,0,0,0,0,0,8,7,3.22s,0,0,0,1,0,2,10,0.25,94.1%,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23:29,03:11
15,Sam_Tagataese_4,1906,4,560,16,Interchange,27:00,0,0,0,0,0,0,0,17,8,71,0,31,0,0,0,0,0,8,7,2.97s,0,0,0,0,0,1,9,0.12,87.5%,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26:53,0
16,Joseph_Paulo_4,480,4,560,17,Interchange,16:00,0,0,0,0,0,0,0,14,3,31,0,12,0,0,0,0,0,3,2,3.74s,0,0,0,1,1,2,5,0.67,100%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:12,0
17,Will_Hopoate_3,84,3,560,1,Fullback,80:00,0,0,0,0,0,0,0,49,27,211,69,70,0,0,0,0,4,1,21,3.38s,6,53,0,0,1,25,48,1,83.3%,10,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Marcelo_Montoya_3,82,3,560,2,Winger,80:00,0,0,0,0,0,0,0,22,15,98,6,40,0,0,0,0,3,0,11,3.29s,4,25,0,0,0,3,18,0,81.8%,9,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Josh_Morris_3,492,3,560,3,Centre,80:00,0,0,0,0,0,0,0,23,12,97,0,42,0,0,0,0,4,0,12,3s,0,0,0,0,0,6,16,0,78.6%,11,2,1,0,0,1,37,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
20,Brenko_Lee_3,2058,3,560,4,Centre,80:00,4,1,0,0,0,0,0,47,7,84,0,32,1,0,0,0,5,0,5,3.32s,0,0,0,1,0,6,16,1,85.7%,12,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
21,Kerrod_Holland_3,79,3,560,5,Winger,80:00,4,0,1,1,1,100%,0,27,11,83,0,27,0,0,0,0,2,0,10,3.07s,1,10,0,0,0,5,16,0,88.9%,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Matt_Frawley_3,493,3,560,6,Five-Eighth,80:00,0,0,0,0,0,0,0,49,12,69,7,20,0,0,0,0,4,0,6,3.19s,0,0,0,0,8,43,62,4,100%,12,0,0,0,1,13,374,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
23,Moses_Mbye_3,490,3,560,7,Halfback,80:00,0,0,0,0,0,0,0,29,11,71,0,17,0,1,1,0,0,0,5,3.78s,0,0,0,0,10,24,33,2,81.8%,27,5,1,0,0,3,53,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0
24,Aiden_Tolman_3,62,3,560,8,Prop,80:00,0,0,0,0,0,0,0,63,21,148,12,52,0,0,0,0,0,17,19,3.19s,0,0,0,0,1,9,28,0,94.4%,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Michael_Lichaa_3,68,3,560,9,Hooker,63:00,0,0,0,0,0,0,0,48,4,27,0,5,0,0,0,0,0,0,2,2.7s,4,27,0,0,5,69,71,17,96%,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,James_Graham_3,1970,3,560,10,Prop,20:00,0,0,0,0,0,0,0,18,2,19,0,7,0,0,0,0,0,2,2,3.4s,0,0,0,0,2,1,3,0,95.8%,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
27,Greg_Eastwood_3,538,3,560,11,2nd Row,54:00,0,0,0,0,0,0,0,18,11,94,0,35,0,0,0,0,0,9,9,3.26s,0,0,0,0,1,3,13,0,88.2%,15,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
28,Adam_Elliott_3,61,3,560,12,2nd Row,80:00,0,0,0,0,0,0,0,54,17,107,0,42,0,0,0,0,3,15,14,3.5s,0,0,0,1,1,6,21,0,83.7%,41,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
