,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Roger_Tuivasa-sheck_9,531,9,481,1,Fullback,27:00,0,0,0,0,0,0,0,4,6,38,12,7,0,0,0,0,0,0,5,4.42s,0,0,0,0,0,2,7,0.33,50%,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27:00,0
1,Tuimoala_Lolohea_9,2096,9,481,2,Winger,80:00,4,1,0,0,0,0,0,36,13,96,36,21,1,0,0,0,3,0,11,3.57s,0,0,0,1,2,6,21,0.46,66.7%,4,2,0,0,3,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,David_Fusitu'a_9,238,9,481,3,Centre,80:00,0,0,0,0,0,0,0,24,12,104,0,33,0,0,0,0,3,0,12,3.15s,0,0,0,0,3,2,15,0.17,73.3%,11,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
3,Solomone_Kata_9,533,9,481,4,Centre,80:00,0,0,0,0,0,0,0,34,11,92,8,32,0,0,1,0,5,1,10,4.14s,0,0,0,0,1,3,15,0.27,58.3%,7,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
4,Ken_Maumalo_9,241,9,481,5,Winger,80:00,0,0,0,0,0,0,0,19,17,159,54,37,0,0,0,0,1,1,15,3.22s,0,0,0,1,1,1,17,0.06,50%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,Ata_Hingano_9,2097,9,481,6,Five-Eighth,80:00,0,0,0,0,0,0,0,25,3,13,0,2,0,0,0,0,0,0,2,4.28s,0,0,0,0,3,33,45,11,90%,27,2,1,0,0,7,140,0,2,2,0,1,0,1,1,0,2,0,0,0,80:00,0
6,Shaun_Johnson_9,534,9,481,7,Halfback,80:00,6,1,1,2,0,50%,0,68,11,76,0,1,0,1,1,0,3,0,2,2.8s,0,0,0,1,10,36,54,3.27,87.5%,21,2,1,0,0,15,371,1,6,2,0,1,0,1,0,0,0,0,0,0,80:00,0
7,Albert_Vete_9,601,9,481,8,Prop,37:00,0,0,0,0,0,0,0,20,11,102,11,31,0,0,0,0,0,10,11,3.5s,0,0,0,0,1,0,11,0,81.8%,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26:29,11:27
8,Issac_Luke_9,225,9,481,9,Hooker,80:00,0,0,0,0,0,0,0,40,8,54,0,18,0,0,0,0,0,1,5,4.91s,7,49,0,0,5,112,110,14,93.2%,41,2,1,0,0,1,13,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
9,Charlie_Gubb_9,2027,9,481,10,Prop,34:00,0,0,0,0,0,0,0,23,7,66,15,14,0,0,0,0,0,6,7,3.94s,0,0,0,0,0,0,8,0,92%,23,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26:29,08:07
