,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Roger_Tuivasa-sheck_15,1675,15,902,1,Fullback,79:00,4,1,0,0,0,0,0,52,23,204,54,64,1,1,1,0,4,0,0,0,0,0,0,1,3,10,33,0.43,50%,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79:00,0
1,Daniel_Tupou_15,431,15,902,2,Winger,79:00,4,1,0,0,0,0,0,44,12,116,20,28,1,0,1,0,3,0,0,0,2,17,0,2,1,2,14,0.17,100%,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79:00,0
2,Michael_Jennings_15,1673,15,902,3,Centre,79:00,4,1,0,0,0,0,0,55,15,136,0,32,1,1,0,0,6,1,0,0,2,15,0,0,1,10,23,0.67,100%,9,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,79:00,0
3,Blake_Ferguson_15,487,15,902,4,Centre,58:00,4,1,0,0,0,0,0,54,9,146,0,35,2,1,1,0,4,0,0,0,1,12,0,0,4,1,11,0.11,75%,9,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,58:00,0
4,Shaun_Kenny-dowall_15,1674,15,902,5,Winger,79:00,4,1,0,0,0,0,0,29,17,141,8,44,1,0,0,0,0,1,0,0,3,27,0,0,2,5,23,0.29,83.3%,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79:00,0
5,James_Maloney_15,1676,15,902,6,Five-Eighth,79:00,14,1,5,6,0,83.33%,0,62,9,120,0,21,0,1,1,0,2,0,0,0,1,12,0,0,5,16,29,1.78,81.8%,18,2,2,0,0,5,119,0,0,2,0,1,0,0,2,0,0,0,0,0,79:00,0
6,Mitchell_Pearce_15,1677,15,902,7,Halfback,79:00,0,0,0,0,0,0,0,56,12,61,0,8,0,2,2,0,0,0,0,0,0,0,0,2,6,41,62,3.42,86.7%,13,1,1,2,0,13,464,0,5,0,0,0,0,0,0,0,1,0,0,0,79:00,0
7,Jared_Waerea-hargreaves_15,414,15,902,8,Prop,29:00,0,0,0,0,0,0,0,24,6,56,25,20,0,0,0,0,0,4,0,0,0,0,0,1,1,3,9,0.5,94.4%,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:00,0
8,Matt_Mcilwrick_15,2220,15,902,9,Hooker,51:00,0,0,0,0,0,0,0,28,4,52,0,28,0,0,0,0,0,1,0,0,3,39,0,0,1,67,69,16.75,90.6%,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,51:00,0
9,Sam_Moa_15,1678,15,902,10,Prop,41:00,0,0,0,0,0,0,0,30,9,74,0,22,0,0,0,0,0,9,0,0,0,0,0,1,2,1,10,0.11,90%,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41:00,0
10,Boyd_Cordner_15,409,15,902,11,2nd Row,79:00,0,0,0,0,0,0,0,34,7,74,0,33,0,0,0,0,1,7,0,0,0,0,0,0,0,8,15,1.14,82.8%,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79:00,0
11,Aidan_Guerra_15,1679,15,902,12,2nd Row,79:00,0,0,0,0,0,0,0,30,7,59,0,29,0,0,0,0,0,7,0,0,0,0,0,0,0,4,11,0.57,85.4%,35,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79:00,0
12,Isaac_Liu_15,412,15,902,13,Lock,39:00,0,0,0,0,0,0,0,27,5,39,0,23,0,0,0,0,2,5,0,0,0,0,0,0,0,1,6,0.2,90%,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39:00,0
13,Mitchell_Aubusson_15,417,15,902,14,Interchange,50:00,0,0,0,0,0,0,0,19,5,36,0,13,0,0,0,0,0,2,0,0,3,25,0,0,1,37,38,7.4,100%,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50:00,0
14,Dylan_Napa_15,489,15,902,15,Interchange,55:00,0,0,0,0,0,0,0,36,12,105,14,35,0,0,0,0,0,10,0,0,0,0,0,0,0,2,13,0.17,86.5%,32,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55:00,0
15,Kane_Evans_15,2090,15,902,16,Interchange,43:00,0,0,0,0,0,0,0,39,12,106,37,34,0,0,0,0,1,7,0,0,1,1,0,0,0,1,12,0.08,100%,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43:00,0
