,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Moses_Mbye_Tigers,466,16,177,1,Fullback,80.0,4,1,0,0,0,,0,19,14,97,36,30,0,1,1,0,1,0,13,3.2,1,9,0,0,0,11,27,0.79,0.538,7,6,0,0,3,1,6,0,0,0,0,1,0,2,1,0,1,0,0,0,80.0,,1
David_Nofoaluma_Tigers,459,16,177,2,Winger,80.0,0,0,0,0,0,,0,56,20,211,4,69,1,0,0,0,8,0,17,2.61,1,47,0,2,0,5,24,0.25,0.818,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.0,,2
Esan_Marsters_Tigers,461,16,177,3,Centre,80.0,6,0,3,4,0,0.75,0,54,12,116,0,58,0,0,0,0,4,2,11,2.79,0,0,0,1,0,4,16,0.33,0.96,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,80.0,,3
Mahe_Fonua_Tigers,465,16,177,4,Centre,80.0,0,0,0,0,0,,0,28,11,145,0,53,0,1,1,0,0,0,9,2.46,0,0,0,2,0,6,13,0.55,0.733,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Kevin_Naiqama_Tigers,522,16,177,5,Winger,80.0,8,2,0,0,0,,0,43,13,122,9,39,2,1,0,0,0,0,10,2.57,0,0,0,0,0,3,19,0.23,1.0,5,0,0,0,1,1,32,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Benji_Marshall_Tigers,457,16,177,6,Five-Eighth,80.0,0,0,0,0,0,,0,16,5,30,0,6,0,0,0,0,0,0,1,2.32,0,0,0,1,1,31,38,6.2,0.682,15,7,0,0,0,5,176,1,2,0,0,0,0,0,0,0,0,0,0,0,80.0,,4
Luke_Brooks_Tigers,464,16,177,7,Halfback,80.0,0,0,0,0,0,,0,31,11,126,0,16,1,0,0,0,2,0,3,3.91,0,0,0,0,1,22,38,2,0.667,10,3,2,0,0,9,311,0,1,0,0,1,1,4,4,0,1,0,0,0,80.0,,5
Russell_Packer_Tigers,453,16,177,8,Prop,48.0,0,0,0,0,0,,0,23,6,47,0,16,0,0,0,0,0,6,5,2.82,0,0,0,1,0,1,7,0.17,0.833,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23.52,23.43,6
Robbie_Farah_Tigers,451,16,177,9,Hooker,61.0,0,0,0,0,0,,0,46,6,94,0,13,1,0,1,0,1,1,2,2.4,5,83,0,1,2,87,94,14.5,0.882,30,4,0,0,0,3,72,0,0,1,0,1,0,1,1,0,0,0,0,0,60.41,,7
Ben_Matulino_Tigers,440,16,177,10,Prop,36.0,0,0,0,0,0,,0,22,7,75,21,30,0,0,0,0,0,6,7,3.06,0,0,0,0,0,1,8,0.14,0.806,25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,11.37,6
Chris_Lawrence_Tigers,441,16,177,11,2nd Row,80.0,4,1,0,0,0,,0,41,11,112,7,45,0,0,0,0,0,9,10,3.14,0,0,0,0,0,3,15,0.27,0.875,28,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,8
Michael_Chee-kam_Tigers,449,16,177,12,2nd Row,80.0,0,0,0,0,0,,0,44,13,126,0,51,0,0,0,0,1,13,9,2.69,0,0,0,3,0,1,16,0.08,0.827,43,8,1,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,0,0,80.0,,8
Matthew_Eisenhuth_Tigers,448,16,177,13,Lock,65.0,0,0,0,0,0,,0,55,9,81,0,35,0,0,0,0,0,8,8,3.06,0,0,0,0,0,1,9,0.11,0.905,57,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.17,9.02,9
Alex_Twal_Tigers,439,16,177,14,Interchange,39.0,0,0,0,0,0,,0,79,13,204,54,49,1,0,1,0,7,9,11,3.29,0,0,0,1,0,0,13,0,0.906,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.55,,10
Sauaso_Sue_Tigers,599,16,177,15,Interchange,37.0,0,0,0,0,0,,0,37,13,136,0,59,0,0,0,0,1,13,12,2.43,0,0,0,1,0,0,13,0,0.958,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.08,5.2,10
Josh_Aloiai_Tigers,569,16,177,17,Interchange,15.0,0,0,0,0,0,,0,18,4,38,0,19,0,0,0,0,0,4,4,2.36,0,0,0,0,0,0,4,0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,,10
Jacob_Liddle_Tigers,445,16,177,18,Interchange,19.0,0,0,0,0,0,,0,7,3,32,0,12,0,0,0,0,0,0,3,3.63,3,32,0,0,0,29,32,9.67,0.667,12,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19,,10
Tom_Trbojevic_Sea Eagles,151,6,177,1,Fullback,80.0,0,0,0,0,0,,0,52,18,281,121,94,0,0,1,0,4,0,14,2.89,1,4,0,0,0,16,35,0.89,0.818,9,1,1,0,1,3,79,1,0,2,0,0,0,3,3,0,0,0,0,0,80.0,,1
Jorge_Taufua_Sea Eagles,145,6,177,2,Winger,80.0,0,0,0,0,0,,0,27,20,185,0,80,0,0,0,0,2,1,17,3.82,0,0,0,1,1,2,22,0.1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Moses_Suli_Sea Eagles,148,6,177,3,Centre,80.0,0,0,0,0,0,,0,19,9,94,0,37,0,0,0,0,1,1,9,2.73,0,0,0,0,0,3,12,0.33,0.917,11,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80.0,,3
Brian_Kelly_Sea Eagles,507,6,177,4,Centre,80.0,0,0,0,0,0,,0,35,17,162,1,64,0,0,0,0,7,0,12,3.03,5,47,0,0,0,9,23,0.53,0.706,12,4,1,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,80.0,,3
Brad_Parker_Sea Eagles,139,6,177,5,Winger,80.0,0,0,0,0,0,,0,21,14,111,59,38,0,0,0,0,3,0,14,3.2,0,0,0,0,0,2,16,0.14,0.6,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.0,,2
