,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
William_Kennedy_Sharks,98,4,233,19,Fullback,80.0,0,0,0,0,0,,0,34,18,109,51,8,0,0,0,0,5,1,14,4.12,0,0,0,1,0,14,31,0.78,1.0,4,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,1
Sosaia_Feki_Sharks,97,4,233,2,Winger,80.0,0,0,0,0,0,,0,11,10,93,12,29,0,0,0,0,1,0,9,3.49,0,0,0,0,0,1,13,0.1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,80.0,,2
Bronson_Xerri_Sharks,88,4,233,3,Centre,80.0,4,1,0,0,0,,0,59,15,198,0,40,1,1,1,0,3,2,11,3.94,0,0,0,0,0,4,17,0.27,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Josh_Morris_Sharks,92,4,233,4,Centre,80.0,0,0,0,0,0,,0,23,9,96,0,20,0,0,0,0,0,0,8,3.48,0,0,0,1,1,5,15,0.56,1.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Josh_Dugan_Sharks,91,4,233,1,Winger,80.0,4,1,0,0,0,,0,42,13,122,52,24,1,1,0,0,6,2,9,3.43,0,0,0,1,0,4,19,0.31,1.0,2,0,0,0,0,1,43,0,0,0,0,0,0,4,0,0,0,0,0,0,80.0,,2
Shaun_Johnson_Sharks,95,4,233,6,Five-Eighth,80.0,0,0,0,0,0,,0,55,14,88,0,4,1,2,0,0,2,0,0,,0,0,0,2,3,37,53,2.64,0.938,15,1,0,0,0,13,327,1,3,4,0,1,0,1,0,0,0,0,0,0,80.0,,4
Chad_Townsend_Sharks,89,4,233,7,Halfback,80.0,12,1,4,4,0,1.0,0,53,15,76,0,5,0,1,1,0,0,0,4,4.19,0,0,0,1,3,47,55,3.13,0.947,18,1,0,0,0,3,100,0,3,0,0,0,0,0,0,0,0,0,0,0,80.0,,5
Andrew_Fifita_Sharks,103,4,233,8,Prop,60.0,4,1,0,0,0,,0,71,18,120,0,20,1,0,0,0,5,17,11,4.19,0,0,0,5,0,6,23,0.33,0.929,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.33,28.26,6
Jayden_Brailey_Sharks,473,4,233,9,Hooker,57.0,0,0,0,0,0,,0,39,5,35,0,5,0,0,0,0,2,3,4,3.97,1,16,0,0,0,85,90,17,1.0,27,0,0,0,0,1,15,0,0,1,0,0,1,0,0,0,1,0,0,0,56.52,,7
Matt_Prior_Sharks,474,4,233,10,Prop,51.0,0,0,0,0,0,,0,40,13,117,0,32,0,0,0,0,2,11,11,3.05,1,9,0,1,1,2,15,0.15,0.871,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.35,23.13,6
Briton_Nikora_Sharks,108,4,233,11,2nd Row,80.0,0,0,0,0,0,,0,68,10,119,0,10,2,0,0,0,8,10,7,3.41,0,0,0,1,0,2,12,0.2,0.931,27,1,1,0,1,1,24,0,0,0,0,0,0,1,0,0,1,0,0,0,80.0,,8
Kurt_Capewell_Sharks,478,4,233,12,2nd Row,80.0,0,0,0,0,0,,0,54,15,144,0,56,0,0,0,0,2,14,14,3.75,0,0,0,0,3,5,22,0.33,0.894,42,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80.0,,8
Paul_Gallen_Sharks,477,4,233,13,Lock,52.0,0,0,0,0,0,,0,49,15,127,0,38,0,0,0,0,3,15,14,3.77,0,0,0,0,0,4,17,0.27,0.941,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.34,,9
Blayke_Brailey_Sharks,106,4,233,14,Interchange,23.0,0,0,0,0,0,,0,10,5,23,0,3,0,0,0,0,0,3,3,3.69,1,11,0,0,0,36,39,7.2,0.889,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,,10
Jack_Williams_Sharks,616,4,233,16,Interchange,36.0,0,0,0,0,0,,0,38,12,121,11,47,0,0,0,0,1,10,10,3.25,0,0,0,0,0,3,14,0.25,1.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.32,6.08,10
Scott_Sorensen_Sharks,605,4,233,17,Interchange,16.0,0,0,0,0,0,,0,10,7,60,24,21,0,0,0,0,0,5,7,3.69,0,0,0,0,0,1,9,0.14,0.857,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15.45,,10
Braden_Hamlin-uele_Sharks,107,4,233,20,Interchange,25.0,0,0,0,0,0,,0,47,11,96,3,43,0,0,0,0,6,10,9,3.83,0,0,0,1,0,0,11,0,1.0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.13,,10
