,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Matt_Moylan_12,1966,12,1265,1,Fullback,78:00,4,1,0,0,0,0,0,43,13,120,34,17,2,1,2,0,2,0,0,0,1,11,0,2,1,39,52,3,100%,2,0,0,0,5,2,47,0,0,1,0,0,0,0,0,0,0,0,0,0,78:00,0
1,Josh_Mansour_12,323,12,1265,2,Winger,78:00,0,0,0,0,0,0,0,35,19,183,40,61,0,0,0,0,9,0,0,0,0,0,0,0,0,2,22,0.11,100%,8,0,0,0,1,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,78:00,0
2,Dean_Whare_12,318,12,1265,3,Centre,78:00,0,0,0,0,0,0,0,14,9,89,0,35,0,0,0,0,1,0,0,0,1,7,0,1,0,4,13,0.44,100%,9,0,0,0,0,1,12,0,0,1,0,0,1,0,0,0,0,0,0,0,78:00,0
3,Jamal_Idris_12,2222,12,1265,4,Centre,78:00,0,0,0,0,0,0,0,19,10,106,0,53,0,0,0,0,1,1,0,0,1,10,0,0,0,4,13,0.4,93.3%,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,78:00,0
4,Dallin_Watene-zelezniak_12,316,12,1265,5,Winger,78:00,8,2,0,0,0,0,0,31,11,94,6,44,1,0,0,0,2,1,0,0,4,39,0,0,0,3,14,0.27,71.4%,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78:00,0
5,Will_Smith_12,2147,12,1265,6,Five-Eighth,78:00,0,0,0,0,0,0,0,27,5,62,0,12,0,0,0,0,2,0,0,0,0,0,0,0,2,39,46,7.8,79.3%,23,5,1,0,0,1,49,0,0,0,0,0,0,0,0,0,1,0,0,0,78:00,0
6,Jamie_Soward_12,2148,12,1265,7,Halfback,78:00,6,0,2,4,1,60%,0,37,7,33,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,24,43,3.43,76.9%,10,3,0,1,1,14,380,2,3,4,0,1,0,0,0,0,0,0,0,0,78:00,0
7,Nigel_Plum_12,1786,12,1265,8,Prop,60:00,0,0,0,0,0,0,0,33,16,138,20,43,0,0,0,0,0,15,0,0,0,0,0,2,0,1,17,0.06,90.3%,28,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60:00,0
8,James_Segeyaro_12,1785,12,1265,9,Hooker,78:00,4,1,0,0,0,0,0,73,11,71,0,13,1,0,0,0,6,0,0,0,6,38,0,2,2,95,103,8.64,91.2%,31,1,2,0,0,5,119,2,0,3,0,0,0,0,1,0,0,0,0,0,78:00,0
9,Sam_Mckendry_12,336,12,1265,10,Prop,77:00,0,0,0,0,0,0,0,34,15,147,49,53,0,0,0,0,1,11,0,0,0,0,0,2,0,0,15,0,100%,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77:00,0
