,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Jahrome_Hughes_7,178,7,425,1,Fullback,80:00,0,0,0,0,0,0,0,22,18,129,66,26,0,0,0,0,4,0,12,3.72s,1,15,0,0,0,12,27,0.67,60%,3,2,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,80:00,0
1,Suliasi_Vunivalu_7,185,7,425,2,Winger,80:00,4,1,0,0,0,0,0,20,14,142,12,37,0,0,0,0,2,0,11,3.74s,0,0,0,0,0,2,19,0.14,50%,2,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,80:00,0
2,Will_Chambers_7,187,7,425,3,Centre,80:00,0,0,0,0,0,0,0,22,11,92,0,29,0,0,0,0,0,0,7,4.58s,0,0,0,3,0,4,14,0.36,83.3%,10,2,0,0,0,1,9,0,0,1,0,0,0,1,1,1,1,0,0,0,80:00,0
3,Justin_Olam_7,180,7,425,4,Centre,80:00,4,1,0,0,0,0,0,32,7,77,0,29,0,1,1,0,2,0,6,2.62s,1,6,0,1,0,2,12,0.29,80%,12,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,80:00,0
4,Josh_Addo-carr_7,179,7,425,5,Winger,80:00,4,1,0,0,0,0,0,43,12,136,0,29,2,0,0,0,5,0,11,4.24s,4,65,0,0,1,1,13,0.08,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,80:00,0
5,Cameron_Munster_7,175,7,425,6,Five-Eighth,80:00,0,0,0,0,0,0,0,54,10,86,0,23,0,0,1,0,3,0,6,3.67s,1,7,0,0,0,25,44,2.5,83.3%,25,3,2,0,1,11,268,1,2,2,0,1,1,0,0,0,1,0,0,0,80:00,0
6,Brodie_Croft_7,174,7,425,7,Halfback,80:00,0,0,0,0,0,0,0,30,11,69,2,16,0,0,0,0,0,0,5,4.06s,0,0,0,0,4,30,44,2.73,84%,21,2,2,0,0,7,198,0,3,1,0,1,0,1,1,0,0,0,0,0,80:00,0
7,Jesse_Bromwich_7,164,7,425,8,Prop,59:00,0,0,0,0,0,0,0,28,13,123,0,45,0,0,0,0,0,12,11,3.35s,0,0,0,0,1,6,18,0.46,88.5%,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31:49,26:49
8,Cameron_Smith_7,159,7,425,9,Hooker,80:00,6,0,3,3,0,100%,0,60,3,26,0,8,0,0,0,0,0,0,1,4.16s,3,26,0,1,0,99,97,33,94.7%,54,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
9,Nelson_Asofa-solomona_7,169,7,425,10,Prop,44:00,0,0,0,0,0,0,0,45,15,149,29,57,0,0,0,0,4,12,14,4.47s,0,0,0,0,0,1,16,0.07,86.4%,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:31,21:47
