,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Luke_Yates_Knights,603,8,115,16,Interchange,27.0,0,0,0,0,0,,0,9,2,16,0,3,0,0,0,0,0,2,2,4.14,0,0,0,0,0,3,6,1.5,0.875,14,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26.54,,10
Sam_Stone_Knights,199,8,115,19,Interchange,19.0,0,0,0,0,0,,0,14,3,24,0,7,0,0,0,0,1,3,2,3.04,0,0,0,0,0,1,4,0.33,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51,,10
Jahrome_Hughes_Storm,178,7,115,17,Fullback,80.0,0,0,0,0,0,,0,22,12,102,29,33,0,0,0,0,2,2,11,2.85,0,0,0,0,1,7,18,0.58,0.857,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,1
Suliasi_Vunivalu_Storm,185,7,115,2,Winger,80.0,4,1,0,0,0,,0,18,12,96,21,34,1,0,0,0,1,0,12,3.22,2,10,0,0,0,1,17,0.08,0.667,2,1,0,0,2,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,80.0,,2
Will_Chambers_Storm,187,7,115,3,Centre,80.0,0,0,0,0,0,,0,21,11,80,0,30,0,1,1,0,0,0,11,3.71,2,23,0,0,1,1,14,0.09,0.773,17,5,0,1,1,1,12,0,0,1,0,0,0,0,0,0,1,0,0,0,80.0,,3
Curtis_Scott_Storm,177,7,115,4,Centre,80.0,0,0,0,0,0,,0,33,13,108,0,33,0,0,0,0,7,5,11,3.55,1,6,0,0,0,0,14,0,0.7,7,1,2,0,0,1,19,0,0,1,0,0,0,1,1,0,1,0,0,0,80.0,,3
Josh_Addo-carr_Storm,179,7,115,5,Winger,80.0,8,2,0,0,0,,0,51,14,257,50,28,0,0,0,0,3,1,11,3.53,0,0,0,0,0,0,15,0,1.0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Cameron_Munster_Storm,175,7,115,6,Five-Eighth,80.0,0,0,0,0,0,,0,73,16,163,26,16,1,0,2,0,6,0,5,4.06,1,11,0,3,8,32,45,2,0.862,25,3,1,0,0,6,97,1,2,4,0,0,0,1,1,0,2,0,0,0,80.0,,4
Ryley_Jacks_Storm,539,7,115,7,Halfback,80.0,4,1,0,0,0,,0,36,6,46,0,15,1,0,0,0,1,0,4,3.69,0,0,0,0,2,17,29,2.83,0.81,17,4,0,0,0,7,166,0,1,1,0,0,0,0,0,0,0,0,0,0,80.0,,5
Tim_Glasby_Storm,541,7,115,8,Prop,51.0,0,0,0,0,0,,0,34,10,93,0,34,0,0,0,0,1,10,9,3.75,0,0,0,0,0,1,11,0.1,0.909,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.2,18.53,6
Cameron_Smith_Storm,159,7,115,9,Hooker,75.0,12,0,4,4,1,0.857,0,61,7,45,0,13,0,0,0,0,1,2,3,2.56,4,41,0,2,10,102,110,14.57,0.925,37,0,3,1,0,5,117,0,0,2,0,0,0,0,0,0,2,0,0,0,74.53,,7
Nelson_Asofa-solomona_Storm,169,7,115,10,Prop,42.0,0,0,0,0,0,,0,42,16,160,42,75,0,0,0,0,3,13,12,2.78,0,0,0,2,1,1,17,0.06,0.905,19,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,22.2,20.14,6
Felise_Kaufusi_Storm,162,7,115,11,2nd Row,80.0,0,0,0,0,0,,0,45,9,70,0,34,0,0,0,0,1,9,8,3.34,0,0,0,1,0,9,19,1,0.911,41,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,8
Joe_Stimson_Storm,165,7,115,16,2nd Row,80.0,0,0,0,0,0,,0,52,12,78,0,26,0,0,0,0,1,10,10,3.8,0,0,0,0,0,11,21,0.92,1.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Kenneath_Bromwich_Storm,168,7,115,13,Lock,34.0,0,0,0,0,0,,0,37,13,97,0,35,0,1,1,0,0,12,11,3.45,0,0,0,1,2,4,16,0.31,0.875,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24,10.17,9
Ryan_Hoffman_Storm,540,7,115,12,Interchange,15.0,0,0,0,0,0,,0,6,5,38,0,22,0,0,0,0,0,3,3,3.07,2,5,0,1,1,2,7,0.4,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15.09,,10
Brandon_Smith_Storm,158,7,115,14,Interchange,37.0,0,0,0,0,0,,0,19,7,84,0,39,0,0,0,0,0,6,6,3.31,0,0,0,0,0,4,10,0.57,0.85,17,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,36.43,,10
Christian_Welch_Storm,160,7,115,15,Interchange,43.0,0,0,0,0,0,,0,31,11,112,0,37,0,0,0,0,0,11,8,3.01,0,0,0,1,2,2,13,0.18,0.897,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42.3,,10
Sam_Kasiano_Storm,542,7,115,19,Interchange,23.0,0,0,0,0,0,,0,19,6,59,15,14,0,0,0,0,0,3,4,2.04,0,0,0,0,0,2,6,0.33,0.889,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.07,5.07,10
Corey_Thompson_Tigers,458,16,116,1,Fullback,80.0,4,1,0,0,0,,0,35,18,182,97,41,1,0,0,0,4,1,10,3.3,1,15,0,0,4,11,28,0.61,0.364,4,5,2,0,3,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,80.0,,1
Malakai_Watene-zelezniak_Tigers,523,16,116,2,Winger,80.0,0,0,0,0,0,,0,12,8,84,47,22,0,0,0,0,2,0,8,3.5,0,0,0,0,0,5,13,0.63,0.667,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Esan_Marsters_Tigers,461,16,116,3,Centre,80.0,4,0,2,2,0,1.0,0,32,16,163,0,62,0,0,0,0,0,2,12,3.52,4,36,0,4,3,8,22,0.5,0.727,8,2,1,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,80.0,,3
Mahe_Fonua_Tigers,465,16,116,4,Centre,65.0,0,0,0,0,0,,0,33,11,121,0,61,0,0,0,0,7,0,8,2.68,1,9,0,3,1,7,16,0.64,0.667,12,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,65.19,,3
Kevin_Naiqama_Tigers,522,16,116,5,Winger,80.0,0,0,0,0,0,,0,19,10,97,12,46,0,0,0,0,3,1,10,3.08,2,27,0,0,1,2,13,0.2,0.8,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,2
Tyson_Gamble_Tigers,470,16,116,19,Five-Eighth,80.0,0,0,0,0,0,,0,31,6,55,0,20,0,0,0,0,0,0,6,3.09,1,10,0,1,3,19,35,3.17,0.806,25,5,1,0,1,8,212,0,2,2,0,1,2,1,1,0,0,0,0,0,80.0,,4
Luke_Brooks_Tigers,464,16,116,7,Halfback,80.0,0,0,0,0,0,,0,14,8,56,0,11,0,0,0,0,1,0,4,2.71,0,0,0,0,7,39,53,4.88,0.63,17,8,2,0,0,7,150,2,3,2,0,0,0,3,3,0,0,0,0,0,80.0,,5
