,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Jack_Wighton_Raiders,40,2,101,1,Fullback,80.0,0,0,0,0,0,,0,25,16,147,60,43,0,0,0,0,4,0,13,3.03,2,13,0,0,5,12,25,0.75,,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,1
Nick_Cotric_Raiders,45,2,101,2,Winger,80.0,4,1,0,0,0,,0,40,15,105,6,38,1,0,0,0,7,1,13,3.39,1,5,0,0,0,5,21,0.33,1.0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,80.0,,2
Jarrod_Croker_Raiders,41,2,101,3,Centre,80.0,10,0,3,3,2,1.0,0,33,10,85,9,32,0,0,0,0,3,0,9,3.52,1,2,0,0,1,15,19,1.5,0.765,13,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.0,,3
Joseph_Leilua_Raiders,43,2,101,4,Centre,1.0,0,0,0,0,0,,0,-1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,3
Jordan_Rapana_Raiders,42,2,101,5,Winger,58.0,4,1,0,0,0,,0,22,8,107,0,25,0,0,0,0,1,1,3,3.21,3,39,0,0,0,3,12,0.38,0.75,6,2,0,0,1,1,54,0,0,0,1,0,0,4,3,0,0,0,0,0,57.35,,2
Blake_Austin_Raiders,560,2,101,6,Five-Eighth,80.0,0,0,0,0,0,,0,33,6,43,0,8,0,2,1,0,1,0,2,4.18,0,0,1,0,7,17,23,2.83,0.815,22,5,0,0,0,3,100,1,1,1,0,0,0,0,0,0,1,0,0,0,80.0,,4
Aidan_Sezer_Raiders,33,2,101,7,Halfback,80.0,0,0,0,0,0,,0,24,6,26,0,3,0,0,0,0,2,0,2,3.2,0,0,0,0,2,23,31,3.83,0.842,16,3,0,0,0,6,171,0,0,1,0,1,0,0,0,0,1,0,0,0,80.0,,5
Dunamis_Lui_Raiders,565,2,101,8,Prop,61.0,0,0,0,0,0,,0,36,6,52,15,16,0,0,0,0,0,5,6,3.45,0,0,0,0,0,1,7,0.17,0.902,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.4,27.19,6
Siliva_Havili_Raiders,561,2,101,9,Hooker,80.0,0,0,0,0,0,,0,53,5,74,0,31,0,0,0,0,3,1,4,3.32,4,60,0,0,7,76,81,15.2,0.955,42,2,0,0,0,1,32,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,7
Shannon_Boyd_Raiders,562,2,101,10,Prop,44.0,0,0,0,0,0,,0,40,9,84,0,42,0,0,0,0,4,9,7,2.77,0,0,0,0,0,0,10,0,0.914,32,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,24.39,12.23,6
Iosia_Soliola_Raiders,50,2,101,11,2nd Row,80.0,0,0,0,0,0,,0,48,8,63,0,19,0,0,0,0,1,8,8,3.19,0,0,0,0,0,1,9,0.13,0.918,45,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Elliott_Whitehead_Raiders,563,2,101,12,2nd Row,80.0,4,1,0,0,0,,0,37,8,66,0,16,1,0,1,0,2,0,6,3.53,1,4,0,0,2,7,14,0.88,0.8,16,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,8
Josh_Papalii_Raiders,56,2,101,13,Lock,80.0,0,0,0,0,0,,0,74,11,115,15,46,1,1,1,0,6,10,9,3.93,0,0,0,1,1,1,12,0.09,0.947,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,9
