,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Scott_Drinkwater_10,1650,10,413,1,Fullback,80:00,0,0,0,0,0,0,0,10,11,106,48,16,0,0,0,0,1,0,7,4.13s,0,0,0,0,1,13,26,1.18,66.7%,4,2,0,0,1,1,31,0,0,0,0,0,1,2,2,0,0,0,0,0,80:00,0
1,Kyle_Feldt_10,254,10,413,2,Winger,80:00,0,0,0,0,0,0,0,25,12,130,15,44,0,0,0,0,2,0,12,3.79s,1,11,0,0,0,6,17,0.5,100%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Coen_Hess_10,260,10,413,3,Centre,80:00,0,0,0,0,0,0,0,16,15,133,0,43,0,0,0,0,1,4,13,2.93s,0,0,0,1,0,2,17,0.13,69.2%,9,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80:00,0
3,Tom_Opacic_10,259,10,413,4,Centre,80:00,0,0,0,0,0,0,0,29,12,94,0,19,0,0,0,0,0,1,9,3.36s,3,16,0,2,0,3,14,0.25,94.7%,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
4,Gideon_Gela-mosby_10,248,10,413,5,Winger,80:00,0,0,0,0,0,0,0,4,10,89,25,16,0,0,0,0,0,0,12,4.16s,1,9,0,0,0,2,18,0.2,63.6%,7,2,2,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,80:00,0
5,Michael_Morgan_10,255,10,413,6,Five-Eighth,80:00,0,0,0,0,0,0,0,36,7,59,0,18,0,0,0,0,1,0,5,3.35s,0,0,0,2,7,32,51,4.57,85.7%,18,2,1,0,0,11,280,0,2,4,0,0,0,1,0,0,1,0,0,0,80:00,0
6,Jake_Clifford_10,249,10,413,7,Halfback,80:00,10,1,2,2,1,100%,0,37,6,37,0,5,0,0,0,0,2,0,2,4.32s,0,0,0,0,2,13,23,2.17,63.2%,12,2,5,0,0,7,120,0,2,3,0,0,0,0,0,0,0,0,0,0,80:00,0
7,Josh_Mcguire_10,269,10,413,8,Prop,67:00,0,0,0,0,0,0,0,45,11,105,0,31,0,0,0,0,1,10,11,3.53s,1,11,0,0,0,36,46,3.27,82.8%,48,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,49:36,17:46
8,Jake_Granville_10,265,10,413,9,Hooker,60:00,0,0,0,0,0,0,0,38,4,56,0,2,0,0,0,0,0,1,3,3.64s,3,31,0,0,2,65,66,16.25,83.3%,45,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:37,30:24
9,Gavin_Cooper_10,264,10,413,11,2nd Row,80:00,0,0,0,0,0,0,0,24,10,61,0,20,0,0,0,0,0,10,7,3.74s,0,0,0,1,1,6,12,0.6,83.3%,30,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80:00,0
