,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Blake_Ferguson_Eels,288,11,248,5,Winger,80.0,0,0,0,0,0,,0,23,17,118,10,32,0,1,1,0,0,0,13,3.85,0,0,0,1,0,7,22,0.41,0.833,5,1,0,0,4,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,80.0,,2
Jaeman_Salmon_Eels,283,11,248,6,Five-Eighth,80.0,0,0,0,0,0,,0,10,5,26,0,3,0,0,0,0,1,0,2,4.28,0,0,0,0,1,28,30,5.6,0.682,15,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,4
Mitchell_Moses_Eels,286,11,248,7,Halfback,80.0,6,0,2,2,1,1.0,0,34,6,29,0,0,0,0,0,0,1,0,3,4.64,0,0,0,0,2,24,44,4,0.769,10,3,0,0,2,14,424,0,5,0,0,0,0,1,3,0,1,0,0,0,80.0,,5
Peni_Terepo_Eels,302,11,248,14,Prop,38.0,0,0,0,0,0,,0,30,9,63,5,8,0,0,0,0,0,6,6,3.13,0,0,0,0,0,2,9,0.22,0.875,28,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,22.02,16.19,6
Reed_Mahoney_Eels,304,11,248,9,Hooker,80.0,0,0,0,0,0,,0,59,1,5,5,0,0,1,1,0,0,0,1,5.72,0,0,0,0,0,112,112,112,0.92,69,5,1,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,80.0,,7
Junior_Paulo_Eels,308,11,248,10,Prop,43.0,0,0,0,0,0,,0,20,12,84,0,28,0,0,0,0,1,8,7,3.19,0,0,0,1,0,5,13,0.42,0.792,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.38,15.28,6
Shaun_Lane_Eels,309,11,248,11,2nd Row,80.0,0,0,0,0,0,,0,43,8,74,0,15,1,0,0,0,1,6,6,3.85,0,0,0,0,0,5,11,0.63,0.969,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Marata_Niukore_Eels,299,11,248,12,2nd Row,80.0,0,0,0,0,0,,0,38,8,61,0,12,0,0,0,0,1,8,6,4.25,0,0,0,0,0,3,12,0.38,0.907,39,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,8
Tepai_Moeroa_Eels,305,11,248,13,Lock,45.0,0,0,0,0,0,,0,48,5,39,0,16,0,0,0,0,3,5,5,3.09,0,0,0,0,0,0,6,0,0.949,37,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,24.33,20.03,9
Tim_Mannah_Eels,306,11,248,15,Interchange,27.0,0,0,0,0,0,,0,33,9,101,13,39,0,0,0,0,1,8,9,3.64,0,0,0,0,0,1,10,0.11,0.917,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.11,1.27,10
Oregon_Kaufusi_Eels,301,11,248,16,Interchange,28.0,0,0,0,0,0,,0,20,8,75,13,23,0,0,0,0,2,7,8,3.16,0,0,0,0,0,0,8,0,0.765,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,,10
Ray_Stone_Eels,303,11,248,17,Interchange,16.0,0,0,0,0,0,,0,9,5,32,0,10,0,0,0,0,0,5,5,3.83,0,0,0,0,0,0,5,0,0.813,13,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16.19,,10
Manu_Ma'u_Eels,298,11,248,18,Interchange,42.0,4,1,0,0,0,,0,49,17,140,0,31,1,1,0,0,0,14,13,3.76,0,0,0,1,0,2,18,0.12,0.885,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.24,8.09,10
