,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Jahrome_Hughes_Storm,178,7,125,7,Fullback,80.0,4,1,0,0,0,,0,76,17,209,122,54,1,2,1,0,9,0,13,3.7,0,0,0,1,2,17,36,1,,0,1,0,0,6,2,52,0,1,1,0,0,0,0,0,0,0,0,0,0,80.0,,1
Suliasi_Vunivalu_Storm,185,7,125,2,Winger,80.0,4,1,0,0,0,,0,46,10,155,40,26,1,0,1,0,3,0,8,3.08,0,0,0,2,0,2,13,0.2,0.833,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,80.0,,2
Cheyse_Blair_Storm,623,7,125,3,Centre,80.0,8,2,0,0,0,,0,59,10,156,0,27,2,0,0,0,4,2,8,3.39,0,0,0,0,0,3,15,0.3,0.923,12,0,1,0,0,1,14,0,0,1,0,0,0,1,0,0,1,0,0,0,80.0,,3
Curtis_Scott_Storm,177,7,125,4,Centre,80.0,4,1,0,0,0,,0,42,11,94,0,25,0,0,0,0,4,0,10,3.99,1,1,0,1,0,4,16,0.36,0.882,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Young_Tonumaipea_Storm,589,7,125,1,Winger,80.0,4,1,0,0,0,,0,30,12,118,19,26,0,0,0,0,5,2,11,3.56,1,7,0,0,0,1,14,0.08,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Ryley_Jacks_Storm,539,7,125,6,Five-Eighth,80.0,4,1,0,0,0,,0,47,7,63,0,12,1,1,1,0,3,0,3,3.93,0,0,0,0,7,28,35,4,0.789,15,3,1,0,0,3,83,0,2,0,0,0,0,0,0,0,0,0,0,0,80.0,,4
Brodie_Croft_Storm,174,7,125,17,Halfback,80.0,4,1,0,0,0,,0,70,13,139,0,19,2,1,0,0,3,0,6,3.65,0,0,0,0,8,27,45,2.08,0.875,21,2,1,0,0,10,224,2,3,3,0,1,0,1,1,1,0,0,0,0,80.0,,5
Christian_Welch_Storm,160,7,125,8,Prop,56.0,0,0,0,0,0,,0,37,14,113,30,40,0,0,0,0,1,10,13,3.38,0,0,0,0,0,3,16,0.21,0.906,29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.15,27.51,6
Cameron_Smith_Storm,159,7,125,9,Hooker,80.0,16,0,7,9,1,0.8,0,72,10,50,0,1,0,2,0,0,0,1,1,3.32,5,23,0,0,9,108,112,10.8,0.898,44,1,4,0,0,5,149,0,1,1,0,0,0,1,1,0,0,0,0,0,80.0,,7
Nelson_Asofa-solomona_Storm,169,7,125,10,Prop,50.0,0,0,0,0,0,,0,60,10,115,15,37,1,0,1,0,3,9,6,3.56,0,0,0,4,0,1,11,0.1,0.893,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,28.58,6
