,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Billy_Slater_7,568,7,1314,1,Fullback,80:00,0,0,0,0,0,0,0,0,16,154,20,36,0,2,2,0,0,1,0,0,3,23,0,0,3,27,41,1.69,77.8%,7,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,80:00,0
1,Sisa_Waqa_7,1946,7,1314,22,Winger,80:00,4,1,0,0,0,0,0,0,15,162,30,25,1,0,0,0,2,0,0,0,0,0,0,3,2,5,19,0.33,71.4%,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Will_Chambers_7,187,7,1314,3,Centre,80:00,0,0,0,0,0,0,0,0,11,158,0,44,1,0,1,0,2,1,0,0,0,0,0,0,0,6,14,0.55,100%,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
3,Junior_Sa'u_7,1903,7,1314,4,Centre,80:00,0,0,0,0,0,0,0,1,7,61,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0.43,80%,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
4,Mahe_Fonua_7,1804,7,1314,5,Winger,80:00,4,1,0,0,0,0,0,2,13,181,50,50,1,0,0,0,5,2,0,0,2,6,0,0,2,0,17,0,100%,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
5,Gareth_Widdop_7,1805,7,1314,6,Five-Eighth,80:00,2,0,0,0,1,100%,0,0,7,46,0,13,0,0,0,0,1,0,0,0,0,0,0,0,4,18,23,2.57,80%,20,4,1,0,0,3,32,1,0,2,0,1,0,0,1,0,1,0,0,0,80:00,0
6,Cooper_Cronk_7,1806,7,1314,7,Halfback,80:00,4,1,0,0,0,0,0,0,14,114,0,27,0,1,0,0,0,0,0,0,0,0,0,0,10,29,46,2.07,92.3%,12,0,1,0,0,8,171,0,3,0,0,2,0,0,0,0,0,0,0,0,80:00,0
7,Jesse_Bromwich_7,164,7,1314,8,Prop,29:00,0,0,0,0,0,0,0,0,12,119,20,41,0,0,0,0,2,11,0,0,0,0,0,1,2,0,12,0,95.7%,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:00,0
8,Cameron_Smith_7,159,7,1314,9,Hooker,77:00,8,0,4,4,0,100%,0,1,7,32,0,7,0,1,1,0,0,0,0,0,5,23,0,1,9,96,97,13.71,97.8%,44,0,1,0,0,6,222,1,0,1,0,0,0,0,0,0,0,0,0,0,77:00,0
9,Bryan_Norrie_7,1891,7,1314,10,Prop,40:00,0,0,0,0,0,0,0,1,14,140,56,49,0,0,0,0,1,10,0,0,0,0,0,1,0,0,14,0,96.2%,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40:00,0
