,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Ben_Barba_4,2154,4,743,1,Fullback,80:00,0,0,0,0,0,0,0,21,11,80,18,22,0,1,1,0,1,0,8,4.19s,0,0,0,1,0,15,25,1.36,40%,2,1,2,0,3,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,80:00,0
1,Sosaia_Feki_4,97,4,743,2,Winger,40:00,8,2,0,0,0,0,0,26,6,82,27,31,1,0,0,0,1,1,4,3.28s,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,40:01,0
2,Jack_Bird_4,2051,4,743,3,Centre,80:00,0,0,0,0,0,0,0,20,12,100,0,48,0,1,0,0,1,0,10,3.87s,2,20,0,1,0,9,22,0.75,75%,12,3,1,0,0,1,23,1,0,1,0,0,0,2,1,0,0,0,0,0,80:00,0
3,Gerard_Beale_4,2050,4,743,14,Centre,80:00,0,0,0,0,0,0,0,25,14,132,5,46,0,0,1,0,0,0,13,2.95s,0,0,0,2,0,6,21,0.43,80%,4,1,0,0,1,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
4,Valentine_Holmes_4,472,4,743,5,Winger,80:00,0,0,0,0,0,0,0,28,9,118,33,35,1,0,0,0,3,1,11,3.43s,1,8,0,0,0,3,16,0.33,85.7%,6,1,0,0,2,1,10,0,0,1,0,0,0,1,1,0,0,0,0,0,80:00,0
5,James_Maloney_4,2052,4,743,6,Five-Eighth,80:00,14,1,4,5,1,83.33%,0,42,8,68,0,13,1,0,1,0,1,1,4,3.39s,0,0,0,0,0,23,35,2.88,76%,19,5,1,0,0,7,71,1,3,3,0,1,0,1,1,0,2,0,0,0,80:00,0
6,Chad_Townsend_4,89,4,743,7,Halfback,80:00,4,1,0,0,0,0,0,29,6,42,0,12,0,0,0,0,1,0,3,2.57s,0,0,0,0,2,34,46,5.67,85%,17,2,1,0,0,6,109,0,3,1,0,1,0,1,0,0,1,0,0,0,80:00,0
7,Andrew_Fifita_4,103,4,743,8,Prop,53:00,0,0,0,0,0,0,0,49,15,122,10,36,0,0,0,0,2,13,10,2.76s,0,0,0,4,0,3,18,0.2,91.2%,31,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,26:39,25:59
8,Michael_Ennis_4,2155,4,743,9,Hooker,80:00,0,0,0,0,0,0,0,45,5,26,0,11,0,1,2,0,0,0,2,4.74s,5,26,0,1,2,94,100,18.8,88.6%,31,1,3,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
9,Matt_Prior_4,474,4,743,16,Prop,44:00,0,0,0,0,0,0,0,15,5,37,12,12,0,0,0,0,0,4,5,4.31s,0,0,0,0,0,0,5,0,83.3%,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24:14,20:03
10,Jayson_Bukuya_4,475,4,743,11,2nd Row,41:00,0,0,0,0,0,0,0,27,10,84,11,33,0,0,0,0,2,9,9,3.37s,0,0,0,0,0,0,10,0,89.5%,17,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,34:12,07:14
11,Wade_Graham_4,476,4,743,12,2nd Row,80:00,0,0,0,0,0,0,0,44,16,118,0,46,0,0,0,0,4,15,13,3.55s,1,5,0,2,1,7,22,0.44,84.4%,27,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80:00,0
12,Paul_Gallen_4,477,4,743,13,Lock,80:00,4,1,0,0,0,0,0,54,20,185,23,62,0,0,0,0,3,17,15,3.39s,0,0,0,2,0,6,27,0.3,73.5%,25,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
13,Ricky_Leutele_4,471,4,743,4,Interchange,40:00,0,0,0,0,0,0,0,14,4,36,0,19,0,0,0,0,2,0,3,2.61s,1,10,0,0,0,1,4,0.25,100%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39:59,0
14,Sam_Tagataese_4,1906,4,743,10,Interchange,27:00,0,0,0,0,0,0,0,29,9,95,32,37,0,0,0,0,1,7,6,3.16s,0,0,0,3,1,0,9,0,100%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27:22,0
15,Chris_Heighington_4,1836,4,743,15,Interchange,26:00,0,0,0,0,0,0,0,30,6,60,0,19,1,0,0,0,2,6,6,3.55s,0,0,0,0,0,0,7,0,100%,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25:45,0
16,Luke_Lewis_4,582,4,743,17,Interchange,49:00,0,0,0,0,0,0,0,29,7,49,0,17,0,1,0,0,1,6,4,2.98s,0,0,0,1,0,8,13,1.14,91.7%,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:32,0
17,Darius_Boyd_1,22,1,743,1,Fullback,80:00,0,0,0,0,0,0,0,40,9,58,2,25,0,3,3,0,2,0,9,4.04s,3,16,0,0,0,8,18,0.89,100%,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
18,Corey_Oates_1,20,1,743,2,Winger,80:00,4,1,0,0,0,0,0,16,10,68,20,22,0,0,0,0,1,1,8,3.56s,0,0,0,0,0,0,11,0,50%,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
19,Jack_Reed_1,1698,1,743,3,Centre,80:00,0,0,0,0,0,0,0,21,7,61,0,23,0,0,0,0,2,0,6,3.34s,3,39,0,0,0,7,12,1,84.6%,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
20,James_Roberts_1,27,1,743,4,Centre,80:00,4,1,0,0,0,0,0,60,8,101,0,15,2,0,0,0,6,0,4,3.96s,0,0,0,1,0,5,11,0.62,85%,17,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
21,Jordan_Kahu_1,497,1,743,5,Winger,80:00,8,1,2,2,0,100%,0,29,5,36,0,11,1,0,0,0,1,0,2,4.28s,0,0,0,1,0,1,8,0.2,100%,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
22,Anthony_Milford_1,19,1,743,6,Five-Eighth,80:00,0,0,0,0,0,0,0,21,13,113,7,18,0,0,0,0,2,0,5,4.78s,1,9,0,2,8,37,49,2.85,77.8%,7,2,0,0,1,3,98,0,0,1,0,0,0,2,1,0,2,0,0,0,80:00,0
23,Ben_Hunt_1,1704,1,743,7,Halfback,80:00,0,0,0,0,0,0,0,32,10,54,0,19,0,0,0,0,1,0,4,3.28s,0,0,0,3,5,24,43,2.4,76.2%,16,4,1,0,0,10,293,0,3,1,0,2,0,2,2,0,0,0,0,0,80:00,0
24,Josh_Mcguire_1,501,1,743,8,Prop,59:00,0,0,0,0,0,0,0,39,14,85,0,22,0,0,0,0,1,13,11,3.36s,1,9,0,2,0,9,23,0.64,96.3%,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35:28,23:42
25,Travis_Waddell_1,2372,1,743,17,Hooker,35:00,0,0,0,0,0,0,0,21,3,22,0,7,0,0,0,0,0,0,2,3.92s,3,22,0,0,0,33,31,11,82.1%,23,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26:17,09:06
26,Sam_Thaiday_1,499,1,743,15,Prop,62:00,4,1,0,0,0,0,0,33,13,106,37,28,1,0,0,0,0,9,11,3.19s,0,0,0,0,1,3,16,0.23,83.3%,15,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26:16,36:17
