,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,James_Tedesco_16,1920,16,701,1,Fullback,80:00,0,0,0,0,0,0,0,56,18,134,56,48,0,0,0,0,9,0,19,4.2s,1,4,0,0,5,7,27,0.39,60%,3,2,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
1,David_Nofoaluma_16,459,16,701,2,Winger,80:00,0,0,0,0,0,0,0,36,17,138,43,34,0,0,0,0,4,3,12,3.34s,3,13,0,3,0,10,28,0.59,76.9%,10,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
2,Tim_Simona_16,1971,16,701,3,Centre,80:00,0,0,0,0,0,0,0,17,9,79,8,22,0,0,0,0,1,0,8,3.68s,0,0,0,0,0,5,16,0.56,80%,16,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80:00,0
3,Kevin_Naiqama_16,522,16,701,4,Centre,80:00,0,0,0,0,0,0,0,37,9,88,0,23,0,0,0,0,4,0,7,3.3s,0,0,0,1,0,4,14,0.44,91.3%,21,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
4,Jordan_Rankin_16,2150,16,701,5,Winger,80:00,0,0,0,0,0,0,0,14,17,105,0,27,0,0,0,0,2,2,14,3.63s,0,0,0,1,1,11,29,0.65,66.7%,2,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,80:00,0
5,Mitchell_Moses_16,2064,16,701,6,Five-Eighth,80:00,0,0,0,0,0,0,0,16,5,43,0,7,0,0,0,0,0,0,2,3.16s,0,0,0,0,2,32,47,6.4,63.2%,12,6,1,0,0,14,256,0,5,3,0,2,3,0,0,0,0,0,0,0,80:00,0
6,Luke_Brooks_16,464,16,701,7,Halfback,80:00,0,0,0,0,0,0,0,19,9,44,0,8,0,0,0,0,1,0,6,4.29s,0,0,1,0,4,34,49,3.78,66.7%,14,4,3,0,0,8,166,0,2,0,0,1,1,0,1,0,1,0,0,0,80:00,0
7,Aaron_Woods_16,1886,16,701,8,Prop,71:00,0,0,0,0,0,0,0,48,25,216,14,64,0,0,0,0,1,24,21,3.72s,0,0,0,1,0,10,35,0.4,91.9%,34,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,48:49,22:10
8,Dene_Halatau_16,2216,16,701,12,Hooker,80:00,0,0,0,0,0,0,0,38,8,52,0,15,0,0,0,0,0,8,7,3.57s,0,0,0,0,1,31,37,3.88,89.7%,35,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
9,Tim_Grant_16,610,16,701,10,Prop,18:00,0,0,0,0,0,0,0,11,5,35,0,9,0,0,0,0,0,5,5,2.98s,0,0,0,0,1,0,5,0,90.9%,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:26,0
