,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Jack_Wighton_2,40,2,698,1,Fullback,80:00,0,0,0,0,0,0,0,31,15,118,15,33,0,1,0,0,3,0,10,3.38s,2,23,0,3,3,10,26,0.67,33.3%,1,2,0,0,3,2,115,0,0,0,0,0,1,1,0,0,0,0,0,0,80:00,0
1,Edrick_Lee_2,1895,2,698,2,Winger,80:00,4,1,0,0,0,0,0,22,7,98,32,19,0,0,0,0,0,0,8,3.08s,0,0,0,0,0,2,10,0.29,100%,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Jarrod_Croker_2,41,2,698,3,Centre,80:00,12,1,3,3,1,100%,0,38,10,89,0,31,0,0,0,0,1,0,6,3.52s,2,18,0,0,1,6,15,0.6,100%,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
3,Brenko_Lee_2,2308,2,698,4,Centre,80:00,0,0,0,0,0,0,0,28,12,129,0,47,0,0,0,0,2,1,10,3.02s,2,23,0,0,1,6,16,0.5,74.1%,20,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
4,Jordan_Rapana_2,42,2,698,5,Winger,80:00,0,0,0,0,0,0,0,31,17,142,3,32,1,0,0,0,3,2,12,3.18s,6,76,0,3,1,8,24,0.47,50%,3,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80:00,0
5,Elliott_Whitehead_2,563,2,698,6,Five-Eighth,80:00,4,1,0,0,0,0,0,68,12,130,0,38,1,0,0,0,5,0,6,3.55s,1,15,0,2,3,4,17,0.33,88.6%,31,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,80:00,0
6,Sam_Williams_2,46,2,698,7,Halfback,80:00,0,0,0,0,0,0,0,31,3,26,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,35,46,11.67,83.3%,10,0,2,0,0,11,238,1,1,3,0,3,0,2,1,0,0,0,0,0,80:00,0
7,Shannon_Boyd_2,2078,2,698,8,Prop,31:00,0,0,0,0,0,0,0,28,9,88,42,40,0,0,0,0,2,6,9,3.73s,0,0,0,0,0,0,10,0,82.4%,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:02,11:05
8,Josh_Hodgson_2,55,2,698,9,Hooker,80:00,0,0,0,0,0,0,0,64,6,46,0,2,1,1,2,0,1,2,3,4.48s,3,29,0,0,4,81,85,13.5,91.3%,42,2,2,0,0,2,111,0,0,0,0,0,1,0,0,0,1,0,0,0,80:00,0
9,Frank-paul_Nuuausala_2,2145,2,698,10,Prop,53:00,0,0,0,0,0,0,0,28,8,73,0,26,0,0,0,0,2,7,6,3.57s,0,0,0,0,1,2,9,0.25,82.6%,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23:37,29:08
10,Josh_Papalii_2,56,2,698,11,2nd Row,80:00,0,0,0,0,0,0,0,47,16,139,4,63,0,0,0,0,6,14,11,3.88s,0,0,0,0,1,3,17,0.19,95%,19,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80:00,0
11,Iosia_Soliola_2,50,2,698,12,2nd Row,80:00,0,0,0,0,0,0,0,37,10,76,0,19,0,0,0,0,0,10,10,2.96s,0,0,0,0,0,1,13,0.1,87%,40,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
12,Shaun_Fensom_2,1797,2,698,13,Lock,64:00,0,0,0,0,0,0,0,48,14,94,0,31,0,0,0,0,0,14,13,3.48s,0,0,0,0,0,1,16,0.07,93.8%,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,58:56,04:56
13,Kurt_Baptiste_2,2146,2,698,14,Interchange,10:00,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,1,0,1,4.64s,1,1,0,0,0,5,6,5,100%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:53,0
14,Joseph_Tapine_2,54,2,698,15,Interchange,26:00,0,0,0,0,0,0,0,21,4,47,13,11,0,0,0,0,0,3,3,3.89s,0,0,0,0,1,3,7,0.75,95%,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26:00,0
