,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Darius_Boyd_1,22,1,833,1,Fullback,80:00,0,0,0,0,0,0,0,20,6,48,39,8,0,2,2,0,0,0,3,3.31s,0,0,0,0,0,25,30,4.17,69.2%,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
1,Corey_Oates_1,20,1,833,2,Winger,80:00,12,3,0,0,0,0,0,68,14,166,45,53,4,0,0,0,5,0,10,3.73s,0,0,0,0,0,1,17,0.07,75%,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,80:00,0
2,Tom_Opacic_1,566,1,833,3,Centre,80:00,0,0,0,0,0,0,0,19,12,115,0,39,0,2,1,0,0,0,11,3.31s,1,7,0,1,0,1,14,0.08,52.9%,9,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
3,James_Roberts_1,27,1,833,4,Centre,80:00,0,0,0,0,0,0,0,29,8,73,0,22,0,0,0,0,1,0,6,3.38s,2,14,0,2,1,0,8,0,85%,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
4,Jonus_Pearson_1,586,1,833,18,Winger,80:00,8,2,0,0,0,0,0,41,12,97,31,22,2,0,0,0,2,0,9,3.65s,0,0,0,0,0,2,13,0.17,50%,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,Anthony_Milford_1,19,1,833,6,Five-Eighth,80:00,6,1,1,2,0,50%,0,89,9,170,0,20,3,0,2,0,8,0,5,3.4s,2,15,0,2,3,10,22,1.11,73.3%,11,2,2,0,0,4,101,0,1,1,0,0,0,0,0,0,0,0,0,0,80:00,0
6,Ben_Hunt_1,1704,1,833,7,Halfback,80:00,4,1,0,0,0,0,0,58,3,33,0,3,1,0,0,0,1,0,1,1.36s,0,0,0,0,3,19,29,6.33,93.3%,28,1,1,0,0,9,327,0,4,0,0,1,1,1,1,0,0,0,0,0,80:00,0
7,Josh_Mcguire_1,501,1,833,8,Prop,59:00,0,0,0,0,0,0,0,37,15,119,0,43,0,0,0,0,0,13,12,3.39s,2,20,0,0,1,11,26,0.73,94.1%,32,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,49:22,10:40
8,Andrew_Mccullough_1,3,1,833,9,Hooker,69:00,0,0,0,0,0,0,0,31,5,47,0,13,0,0,0,0,0,0,3,3.12s,5,47,0,0,2,88,89,17.6,86.8%,33,3,2,0,0,2,99,0,0,0,0,0,0,2,1,0,0,0,0,0,69:20,0
9,Adam_Blair_1,2055,1,833,10,Prop,45:00,0,0,0,0,0,0,0,24,10,87,8,26,0,0,0,0,0,9,8,3.1s,0,0,0,2,0,3,14,0.3,90%,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24:22,21:32
10,Sam_Thaiday_1,499,1,833,11,2nd Row,80:00,0,0,0,0,0,0,0,21,12,99,23,36,0,0,0,0,0,10,10,3.09s,0,0,0,0,0,4,16,0.33,83.3%,15,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
11,Matt_Gillett_1,10,1,833,12,2nd Row,70:00,0,0,0,0,0,0,0,35,8,62,9,19,0,0,0,0,3,7,6,3.15s,0,0,0,1,0,2,11,0.25,92.6%,25,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,70:38,0
12,Corey_Parker_1,1703,1,833,13,Lock,65:00,4,0,1,6,1,28.57%,0,51,16,135,0,42,0,0,0,0,1,15,12,3.46s,0,0,0,2,1,3,18,0.19,93.5%,29,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32:34,30:38
