,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,David_Mead_5,1844,5,678,5,Fullback,80:00,0,0,0,0,0,0,0,25,19,158,66,51,0,0,0,0,2,0,19,4.1s,2,18,0,1,2,10,31,0.53,80%,4,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
1,Anthony_Don_5,112,5,678,2,Winger,80:00,8,2,0,0,0,0,0,32,8,66,0,7,1,0,0,0,1,0,8,3.97s,0,0,0,0,0,2,14,0.25,100%,3,0,0,0,2,1,14,0,0,1,0,0,0,1,1,0,0,0,0,0,80:00,0
2,Josh_Hoffman_5,2167,5,678,3,Centre,80:00,0,0,0,0,0,0,0,19,13,93,0,10,0,0,0,0,2,0,8,4.69s,1,15,0,0,0,2,14,0.15,76.9%,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
3,Nathan_Davis_5,2168,5,678,4,Centre,80:00,0,0,0,0,0,0,0,22,9,98,0,19,0,0,0,0,2,0,8,4.01s,0,0,0,1,0,4,12,0.44,76.9%,10,3,0,0,0,1,29,0,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
4,John_Olive_5,2169,5,678,20,Winger,80:00,4,1,0,0,0,0,0,26,8,53,10,19,0,0,0,0,2,0,8,3.77s,2,9,0,0,0,0,10,0,100%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,Tyrone_Roberts_5,121,5,678,6,Five-Eighth,80:00,10,0,4,5,1,83.33%,0,50,3,21,0,2,0,0,0,0,1,0,3,4.45s,0,0,0,0,2,36,52,12,95%,19,1,0,0,0,12,406,0,6,0,0,1,0,1,0,0,0,0,0,0,80:00,0
6,Ashley_Taylor_5,113,5,678,7,Halfback,80:00,0,0,0,0,0,0,0,21,4,20,0,5,0,0,2,0,0,1,2,2.74s,1,0,0,1,2,25,31,6.25,82.6%,19,4,0,0,0,5,55,0,2,2,0,0,0,2,1,1,1,0,0,0,80:00,0
7,David_Shillington_5,2170,5,678,8,Prop,45:00,0,0,0,0,0,0,0,41,13,91,9,18,0,0,0,0,0,11,11,3.83s,0,0,0,1,0,1,14,0.08,100%,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22:53,21:43
8,Nathan_Friend_5,2171,5,678,9,Hooker,30:00,0,0,0,0,0,0,0,11,1,4,0,2,0,0,0,0,0,0,1,4.16s,1,4,0,0,0,43,44,43,85%,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30:13,0
9,Agnatius_Paasi_5,2087,5,678,10,Prop,41:00,4,1,0,0,0,0,0,57,16,165,62,43,1,0,0,0,5,11,14,4.03s,0,0,0,0,1,1,17,0.06,100%,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22:53,18:16
10,Zeb_Taia_5,2172,5,678,11,2nd Row,80:00,4,1,0,0,0,0,0,49,12,111,0,42,0,0,0,0,1,12,11,4.19s,0,0,0,0,0,4,17,0.33,88.6%,39,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,80:00,0
11,Chris_Mcqueen_5,2083,5,678,12,2nd Row,80:00,0,0,0,0,0,0,0,24,10,68,0,20,0,0,0,0,1,10,11,4.23s,0,0,0,0,1,1,12,0.1,88%,22,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
12,Greg_Bird_5,1850,5,678,13,Lock,62:00,0,0,0,0,0,0,0,61,20,158,0,40,0,2,2,0,1,19,15,4.2s,0,0,0,4,2,4,24,0.2,96.2%,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53:52,08:34
13,Eddy_Pettybourne_5,2109,5,678,14,Interchange,17:00,0,0,0,0,0,0,0,11,5,20,0,1,0,0,0,0,0,4,4,4.38s,0,0,0,0,0,1,5,0.2,91.7%,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17:08,0
14,Ryan_James_5,557,5,678,15,Interchange,53:00,0,0,0,0,0,0,0,33,17,106,0,20,0,0,0,0,0,15,13,3.08s,0,0,0,0,3,8,23,0.47,93.5%,29,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53:05,0
15,Leivaha_Pulu_5,2084,5,678,16,Interchange,22:00,0,0,0,0,0,0,0,13,5,28,0,7,0,0,0,0,0,4,4,3.95s,0,0,0,1,0,2,8,0.4,100%,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17:34,04:02
16,Daniel_Mortimer_5,2173,5,678,17,Interchange,50:00,0,0,0,0,0,0,0,39,5,43,0,5,0,0,0,0,1,1,2,3.6s,4,37,0,2,2,72,79,14.4,100%,30,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,49:47,0
17,Jaelen_Feeney_8,2174,8,678,1,Fullback,80:00,0,0,0,0,0,0,0,14,9,59,34,7,0,0,0,0,1,0,6,4.64s,1,9,0,0,1,10,21,1.11,77.8%,7,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,0
